,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
2369,2016-06-04 21:08:36,0,7498,739202213613047808,,35,MiVotoEsNO,"RT @linamcardonag: Dirección para envío de plantillas diligenciadas, vía @cmbustamante https://t.co/hHzLcrNiMV","[('https://t.co/hHzLcrNiMV', '', 'https://t.co/hHzLcrNiMV', '')]","RT @linamcardonag: Dirección para envío de plantillas diligenciadas, vía @cmbustamante "
2387,2016-06-04 20:08:47,0,7498,739187161589768192,,298,MiVotoEsNO,"RT @NicOcampo20: #YoFirmo porque no seré cómplice de Santos y FARC en el fin de nuestra democracia.
#ResistenciaCivil #FirmeXColombia https…",[],"RT @NicOcampo20: #YoFirmo porque no seré cómplice de Santos y FARC en el fin de nuestra democracia.
#ResistenciaCivil #FirmeXColombia "
1635,2016-06-18 21:09:30,4,7498,744275871633125376,,8,MiVotoEsNO,Bogotá de firmatón. #ResistenciaCivil https://t.co/SjAk6ywoly,"[('https://t.co/SjAk6ywoly', '', 'https://t.co/SjAk6ywoly', '')]",Bogotá de firmatón. #ResistenciaCivil 
1080,2016-07-24 19:48:35,0,7498,757301472958840832,,159,MiVotoEsNO,RT @CeDemocraticous: ¡Gracias a todos los Colombianos en #NuevaYork que nos apoyaron con su firma en el último día! #ResistenciaCivil https…,[],RT @CeDemocraticous: ¡Gracias a todos los Colombianos en #NuevaYork que nos apoyaron con su firma en el último día! #ResistenciaCivil 
1792,2016-06-14 01:58:22,13,7498,742536628657389568,,21,MiVotoEsNO,Firmamos contra un Gobierno pro-TERRORISTA https://t.co/Bw7JrTyJMZ,"[('https://t.co/Bw7JrTyJMZ', '', 'https://t.co/Bw7JrTyJMZ', '')]",Firmamos contra un Gobierno pro-TERRORISTA 
2320,2016-06-04 23:38:05,0,7498,739239833852346368,,33,MiVotoEsNO,RT @OIZuluaga: La Representante a la Cámara @Tatacabello firmó en la ciudad de Valledupar. #ResistenciaCivil https://t.co/6lVoThDo67,"[('https://t.co/6lVoThDo67', '', 'https://t.co/6lVoThDo67', '')]",RT @OIZuluaga: La Representante a la Cámara @Tatacabello firmó en la ciudad de Valledupar. #ResistenciaCivil 
1487,2016-06-25 01:12:24,5,7498,746511328211263488,,9,MiVotoEsNO,Arauca #ResistenciaCivil https://t.co/7ZaWxdSlcE,"[('https://t.co/7ZaWxdSlcE', '', 'https://t.co/7ZaWxdSlcE', '')]",Arauca #ResistenciaCivil 
1179,2016-07-16 16:41:44,19,7498,754355345351475200,,39,MiVotoEsNO,"Hoy en Mondongos en la ciudad del #Doral, recogiendo firmas de #ResistenciaCivil ¿Ya firmaste? #FirmeXColombia https://t.co/kV2UYEQkVh","[('https://t.co/kV2UYEQkVh', '', 'https://t.co/kV2UYEQkVh', '')]","Hoy en Mondongos en la ciudad del #Doral, recogiendo firmas de #ResistenciaCivil ¿Ya firmaste? #FirmeXColombia "
1027,2016-07-30 16:27:09,5,7498,759425106946957312,,7,MiVotoEsNO,#ColombianosEnElExterior activos en #ResistenciaCivil #USA #Queens #NY https://t.co/cDDNa0tVAn,"[('https://t.co/cDDNa0tVAn', '', 'https://t.co/cDDNa0tVAn', '')]",#ColombianosEnElExterior activos en #ResistenciaCivil #USA #Queens #NY 
1317,2016-07-03 16:52:15,0,7498,749646950249664512,,35,MiVotoEsNO,RT @Fsierraramos: Los ciudadanos apoyan nuestra #ResistenciaCivil por eso no debemos desfallecer. #FirmeXColombia #Meta https://t.co/iFe8uU…,"[('https://t.co/iFe8uU…', '', 'https://t.co/iFe8uU…', '')]",RT @Fsierraramos: Los ciudadanos apoyan nuestra #ResistenciaCivil por eso no debemos desfallecer. #FirmeXColombia #Meta 
