,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
936,2016-09-02 14:12:16,0,7498,771712347727626240,,879,MiVotoEsNO,"RT @cmbustamante: A Cesar Gaviria, VOCERO DEL PLEBISCITO, Le da mucha risa que ""se les haya pasado devolver a los niños"" @BluRadioCo https:…",[],"RT @cmbustamante: A Cesar Gaviria, VOCERO DEL PLEBISCITO, Le da mucha risa que ""se les haya pasado devolver a los niños"" @BluRadioCo "
686,2016-09-17 16:25:15,0,7498,777181633120272384,,627,MiVotoEsNO,"RT @AnimorenoP: He leído los acuerdos; tengo la certeza de que lo que allí está escrito, no construye paz #TodosPorElNo https://t.co/pgsyeH…","[('https://t.co/pgsyeH…', '', 'https://t.co/pgsyeH…', '')]","RT @AnimorenoP: He leído los acuerdos; tengo la certeza de que lo que allí está escrito, no construye paz #TodosPorElNo "
932,2016-09-02 22:39:50,0,7498,771840084660391936,,532,MiVotoEsNO,RT @crazyglorita: #SocialismoPaMilenials xq los Milenial son socialistas? Xq no saben qué es socialismo https://t.co/33BAZcOA75 https://t.c…,"[('https://t.co/33BAZcOA75', '', 'https://t.co/33BAZcOA75', ''), ('https://t.c…', '', 'https://t.c…', '')]",RT @crazyglorita: #SocialismoPaMilenials xq los Milenial son socialistas? Xq no saben qué es socialismo  
713,2016-09-15 23:49:25,369,7498,776568637129945088,,492,MiVotoEsNO,A la trampa que significan los acuerdos con las Farc voto NO. #UnidosPorElNo https://t.co/lvKgGP4gF8,"[('https://t.co/lvKgGP4gF8', '', 'https://t.co/lvKgGP4gF8', '')]",A la trampa que significan los acuerdos con las Farc voto NO. #UnidosPorElNo 
955,2016-08-04 21:48:59,0,7498,761318037505110016,,416,MiVotoEsNO,RT @AlvaroUribeVel: EN DIRECTO en #Periscope: Nuestra posición frente al Plebiscito https://t.co/3qu1Q6q9dr,"[('https://t.co/3qu1Q6q9dr', '', 'https://t.co/3qu1Q6q9dr', '')]",RT @AlvaroUribeVel: EN DIRECTO en #Periscope: Nuestra posición frente al Plebiscito 
944,2016-09-01 18:30:46,183,7498,771415017308753920,,364,MiVotoEsNO,"¿Aceptará el colombiano laborioso, trabajador, honesto y lleno de necesidades esto? #VotoNo https://t.co/iLB6aQTk8t","[('https://t.co/iLB6aQTk8t', '', 'https://t.co/iLB6aQTk8t', '')]","¿Aceptará el colombiano laborioso, trabajador, honesto y lleno de necesidades esto? #VotoNo "
980,2016-08-02 20:28:51,0,7498,760573096545910784,,291,MiVotoEsNO,"RT @ChriGarces: Grupo de ciudadanos voluntarios entregamos 41.000 firmas al director del @CeDemocratico, @OIZuluaga. Gracias Valle! https:/…",[],"RT @ChriGarces: Grupo de ciudadanos voluntarios entregamos 41.000 firmas al director del @CeDemocratico, @OIZuluaga. Gracias Valle! "
872,2016-09-07 01:56:49,0,7498,773339206479441920,,274,MiVotoEsNO,"RT @UnidosSomosMasC: Hasta tarde, cada esfuerzo vale la pena! #UnidosSomosMas @AlvaroUribeVel @OIZuluaga @JaimeAminH @CarlosHolmesPre https…",[],"RT @UnidosSomosMasC: Hasta tarde, cada esfuerzo vale la pena! #UnidosSomosMas @AlvaroUribeVel @OIZuluaga @JaimeAminH @CarlosHolmesPre "
975,2016-08-03 12:32:29,0,7498,760815601736617984,,274,MiVotoEsNO,RT @everthbustamant: Con 56.766 firmas Cundinamarca apoya la demanda de inconstitucionalidad en el trámite de los acuerdos de La Habana htt…,[],RT @everthbustamant: Con 56.766 firmas Cundinamarca apoya la demanda de inconstitucionalidad en el trámite de los acuerdos de La Habana htt…
960,2016-08-04 20:45:30,0,7498,761302063074672640,,269,MiVotoEsNO,"RT @AlvaroUribeVel: Grupo de voluntarios del Centro  Democrático de El Poblado, nos entregaron 21.000 firmas. https://t.co/EbbdWQlUbe","[('https://t.co/EbbdWQlUbe', '', 'https://t.co/EbbdWQlUbe', '')]","RT @AlvaroUribeVel: Grupo de voluntarios del Centro  Democrático de El Poblado, nos entregaron 21.000 firmas. "
