,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
927,2016-03-25 16:16:48,0,1411,713399242795167744,,46,123SalvoPatria,RT @CostaNoticiasTV: Arhuacos se niegan a recibir a las Farc en la Sierra Nevada de Santa Marta https://t.co/M2aVlI1o63 @VillanuevaLaG http…,"[('https://t.co/M2aVlI1o63', '', 'https://t.co/M2aVlI1o63', '')]",RT @CostaNoticiasTV: Arhuacos se niegan a recibir a las Farc en la Sierra Nevada de Santa Marta  @VillanuevaLaG 
922,2016-03-25 16:46:09,0,1411,713406629463633920,,402,123SalvoPatria,"RT @AndresFeArcos: Ya el ""nuevo ejército"" de los colombianos, las farc, tienen motos propias y hacen patrullaje por todo el país. https://t…","[('https://t…', '', 'https://t…', '')]","RT @AndresFeArcos: Ya el ""nuevo ejército"" de los colombianos, las farc, tienen motos propias y hacen patrullaje por todo el país. "
844,2016-04-07 16:06:41,0,1411,718107737243181056,,0,123SalvoPatria,Colombia: ¿una #Venezuela más pronto de lo que pensábamos? @idumaes @Tatacabello @CeDemocratico #NoMás #ApagarPaga  https://t.co/dYhtErnm1R,"[('https://t.co/dYhtErnm1R', '', 'https://t.co/dYhtErnm1R', '')]",Colombia: ¿una #Venezuela más pronto de lo que pensábamos? @idumaes @Tatacabello @CeDemocratico #NoMás #ApagarPaga  
924,2016-03-25 16:31:49,0,1411,713403023423311872,,43,123SalvoPatria,RT @ricardopuentesm: Ahora yo soy creador de la guerra jurídica? Este farcófilo sigue en las drogas? https://t.co/IHuIA8DTPJ,"[('https://t.co/IHuIA8DTPJ', '', 'https://t.co/IHuIA8DTPJ', '')]",RT @ricardopuentesm: Ahora yo soy creador de la guerra jurídica? Este farcófilo sigue en las drogas? 
908,2016-03-26 17:15:41,4,1411,713776450919395328,,14,123SalvoPatria,Hay cosas que no podemos olvidar. ¡No negociamos con terroristas! #Abril2ALaCalle https://t.co/A0GfMXCKvq,"[('https://t.co/A0GfMXCKvq', '', 'https://t.co/A0GfMXCKvq', '')]",Hay cosas que no podemos olvidar. ¡No negociamos con terroristas! #Abril2ALaCalle 
962,2016-03-23 15:48:31,1,1411,712667347698520064,,6,123SalvoPatria,Primer acierto @JuanManSantos! Decía que llegaríamos a la PAZ hoy! Solo le faltó aclarar que era la Sele en Bolivia… https://t.co/mDXXdu1cxZ,"[('https://t.co/mDXXdu1cxZ', '', 'https://t.co/mDXXdu1cxZ', '')]",Primer acierto @JuanManSantos! Decía que llegaríamos a la PAZ hoy! Solo le faltó aclarar que era la Sele en Bolivia… 
855,2016-04-04 20:55:42,6,1411,717093310163189760,,9,123SalvoPatria,Colombia despierta y sigue el NO MÁS: no nos dejemos enmermelar la cabeza leyendo sólo EL TIEMPO y El Espectador #NoMasMediosEnmermelados,[],Colombia despierta y sigue el NO MÁS: no nos dejemos enmermelar la cabeza leyendo sólo EL TIEMPO y El Espectador #NoMasMediosEnmermelados
943,2016-03-25 06:19:23,0,1411,713248898735845376,,75849,123SalvoPatria,"RT @geopolytica: #Cuba En 57 años de historia de revolución de #Castro, nos ha enseñado a: Multiplicar los pobres para repartir igualitaria…",[],"RT @geopolytica: #Cuba En 57 años de historia de revolución de #Castro, nos ha enseñado a: Multiplicar los pobres para repartir igualitaria…"
848,2016-04-05 14:17:32,2,1411,717355493950402560,,0,123SalvoPatria,"Asi es @OIZuluaga se ven claramente los ""colombianos que verdaderamente no aman a Colombia"" según @IvanCepedaCast  https://t.co/fYSgt6gojZ","[('https://t.co/fYSgt6gojZ', '', 'https://t.co/fYSgt6gojZ', '')]","Asi es @OIZuluaga se ven claramente los ""colombianos que verdaderamente no aman a Colombia"" según @IvanCepedaCast  "
866,2016-04-03 00:55:11,2,1411,716428800368779264,,2,123SalvoPatria,Colombia no come cuento de la falsa paz #santosrenuncie #NOMASDESGOBIERNO https://t.co/YyOoNDzXyw,"[('https://t.co/YyOoNDzXyw', '', 'https://t.co/YyOoNDzXyw', '')]",Colombia no come cuento de la falsa paz #santosrenuncie #NOMASDESGOBIERNO 
952,2016-03-24 14:54:25,15,1411,713016123357270016,,33,123SalvoPatria,El país del realismo mágico! Dónde se premian terroristas y se les da pensión y subsidios a narcotraficantes..... https://t.co/E4HDg6lDpU,"[('https://t.co/E4HDg6lDpU', '', 'https://t.co/E4HDg6lDpU', '')]",El país del realismo mágico! Dónde se premian terroristas y se les da pensión y subsidios a narcotraficantes..... 
885,2016-03-31 23:32:29,1,1411,715683213344112640,,4,123SalvoPatria,¡NO más abandono al campo! #Abril2ALaCalle @CeDemocratico @AlvaroUribeVel @PaolaHolguin @MariaFdaCabal @SHOYOS https://t.co/d1Cz07hoZ2,"[('https://t.co/d1Cz07hoZ2', '', 'https://t.co/d1Cz07hoZ2', '')]",¡NO más abandono al campo! #Abril2ALaCalle @CeDemocratico @AlvaroUribeVel @PaolaHolguin @MariaFdaCabal @SHOYOS 
823,2016-04-17 02:17:56,0,1411,721523054975807488,,18,123SalvoPatria,RT @ricardopuentesm: Nos siguen leyendo en casi todo el mundo. Esta semana: https://t.co/iEHQV1zfOK,"[('https://t.co/iEHQV1zfOK', '', 'https://t.co/iEHQV1zfOK', '')]",RT @ricardopuentesm: Nos siguen leyendo en casi todo el mundo. Esta semana: 
875,2016-04-01 18:18:05,3,1411,715966481364885504,,6,123SalvoPatria,"Colombia en el exterior dicen NO MÁS, nuestros corazones laten por una misma causa #Abril2ALaCalle @AlvaroUribeVel https://t.co/QyRT5hBVS9","[('https://t.co/QyRT5hBVS9', '', 'https://t.co/QyRT5hBVS9', '')]","Colombia en el exterior dicen NO MÁS, nuestros corazones laten por una misma causa #Abril2ALaCalle @AlvaroUribeVel "
921,2016-03-25 16:46:25,0,1411,713406694391431168,,281,123SalvoPatria,"RT @AndresFeArcos: La defensora del terrorismo @piedadcordoba,  habla mucho de acabar la pobreza, pero mírala viajando en primera clase htt…",[],"RT @AndresFeArcos: La defensora del terrorismo @piedadcordoba,  habla mucho de acabar la pobreza, pero mírala viajando en primera clase htt…"
802,2016-04-27 01:41:45,2,1411,725137831023247360,,1,123SalvoPatria,"Sobre los jóvenes y la participación en política
Columna del jóven del CD de Medellín, Santiago Narváez.
Al Poniente
https://t.co/UbGJqGtrwR","[('https://t.co/UbGJqGtrwR', '', 'https://t.co/UbGJqGtrwR', '')]","Sobre los jóvenes y la participación en política
Columna del jóven del CD de Medellín, Santiago Narváez.
Al Poniente
"
814,2016-04-20 23:07:19,2,1411,722924638314110976,,3,123SalvoPatria,"Buscando la fuente de dinero, asegurada por los bolsillos colombianos @PaolaHolguin @AlvaroUribeVel @MariaFdaCabal  https://t.co/TjrCnYm5Eg","[('https://t.co/TjrCnYm5Eg', '', 'https://t.co/TjrCnYm5Eg', '')]","Buscando la fuente de dinero, asegurada por los bolsillos colombianos @PaolaHolguin @AlvaroUribeVel @MariaFdaCabal  "
899,2016-03-27 14:11:36,9,1411,714092511040577536,,29,123SalvoPatria,"¡A la patria también se TRAICIONA si no se defiende! Protestar no los hace uribistas, sino patriotas #Abril2ALacalle https://t.co/z2fmKWqcJV","[('https://t.co/z2fmKWqcJV', '', 'https://t.co/z2fmKWqcJV', '')]","¡A la patria también se TRAICIONA si no se defiende! Protestar no los hace uribistas, sino patriotas #Abril2ALacalle "
915,2016-03-26 04:24:56,0,1411,713582484034859008,jeadore13,4,123SalvoPatria,@jeadore13 #Abril2ALaCalle #NoComoCuento a los colombianos nos duele el país https://t.co/JTCZko5Npx,"[('https://t.co/JTCZko5Npx', '', 'https://t.co/JTCZko5Npx', '')]",@jeadore13 #Abril2ALaCalle #NoComoCuento a los colombianos nos duele el país 
940,2016-03-25 13:36:57,0,1411,713359016131485696,,100,123SalvoPatria,"RT @JadrianaEsparza: Se presiono al ELN y soltaron a Cabrales,ahora hay que presionar a @juanmansantos para que LIBERE a @LuisAlfreRamos? h…",[],"RT @JadrianaEsparza: Se presiono al ELN y soltaron a Cabrales,ahora hay que presionar a @juanmansantos para que LIBERE a @LuisAlfreRamos? h…"
869,2016-04-02 20:34:16,10,1411,716363137491013632,,23,123SalvoPatria,No más Santos! No más perseguidos políticos! No más falsa paz! No más impunidad! @OIZuluaga @AliciaArango https://t.co/9Ehtf7l9zU,"[('https://t.co/9Ehtf7l9zU', '', 'https://t.co/9Ehtf7l9zU', '')]",No más Santos! No más perseguidos políticos! No más falsa paz! No más impunidad! @OIZuluaga @AliciaArango 
910,2016-03-26 13:05:34,9,1411,713713506860843008,eduardomackenz1,18,123SalvoPatria,"@eduardomackenz1  Si el terrorismo de las farc fuera en EEUU no se sentirían con ellos!!!

https://t.co/OQPLjnROMe https://t.co/4xATVq5zvX","[('https://t.co/OQPLjnROMe', '', 'https://t.co/OQPLjnROMe', ''), ('https://t.co/4xATVq5zvX', '', 'https://t.co/4xATVq5zvX', '')]","@eduardomackenz1  Si el terrorismo de las farc fuera en EEUU no se sentirían con ellos!!!

 "
912,2016-03-26 04:53:14,2,1411,713589604734083072,AlbertoBernalLe,8,123SalvoPatria,@AlbertoBernalLe @RevistaSemana Ciudadanos protestan frente a embajada americana #ColombiaDespierta #Abril2ALaCalle https://t.co/AykpNT5k6n,"[('https://t.co/AykpNT5k6n', '', 'https://t.co/AykpNT5k6n', '')]",@AlbertoBernalLe @RevistaSemana Ciudadanos protestan frente a embajada americana #ColombiaDespierta #Abril2ALaCalle 
941,2016-03-25 06:19:55,0,1411,713249030562783232,,103,123SalvoPatria,RT @AlbertoBernalLe: Pero @POTUS apoya la impunidad p los terroristas q operan en Colombia. Víctimas de primera y de segunda. Patético. htt…,[],RT @AlbertoBernalLe: Pero @POTUS apoya la impunidad p los terroristas q operan en Colombia. Víctimas de primera y de segunda. Patético. htt…
800,2016-04-27 23:56:00,6,1411,725473604834590720,,29,123SalvoPatria,"Acostumbrémonos a ver a delincuentes como Samuel Moreno en la calle, porque después de la ""Paz""... @HassNassar  https://t.co/nTMYq0FfZD","[('https://t.co/nTMYq0FfZD', '', 'https://t.co/nTMYq0FfZD', '')]","Acostumbrémonos a ver a delincuentes como Samuel Moreno en la calle, porque después de la ""Paz""... @HassNassar  "
857,2016-04-04 02:37:10,0,1411,716816853906169856,,701,123SalvoPatria,"RT @AlvaroUribeVel: Gobernador, los cordobeses no estaban pidiendo que el gobierno suprimiera marchas sino que enfrentara al terrorismo
htt…",[],"RT @AlvaroUribeVel: Gobernador, los cordobeses no estaban pidiendo que el gobierno suprimiera marchas sino que enfrentara al terrorismo
htt…"
