,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
654,2016-10-02 03:57:04,0,1411,782429166641750016,,1872,123SalvoPatria,"RT @A_OrdonezM: La tal desmovilización de Farc no existe. Hoy entregan lista sin milicianos que son más de 8 mil, lo advertí hace 2 meses #…",[],"RT @A_OrdonezM: La tal desmovilización de Farc no existe. Hoy entregan lista sin milicianos que son más de 8 mil, lo advertí hace 2 meses #…"
669,2016-09-30 19:26:06,0,1411,781938188340359168,,1590,123SalvoPatria,"RT @AlvaroUribeVel: ""La plata que tienen las FARC ahora es incalculable"":dice desmovilizado de las Farc a Fernando del Rincón en CNNEE  @so…",[],"RT @AlvaroUribeVel: ""La plata que tienen las FARC ahora es incalculable"":dice desmovilizado de las Farc a Fernando del Rincón en CNNEE  @so…"
695,2016-09-29 01:58:23,0,1411,781312135800426496,,1555,123SalvoPatria,"RT @danielpalam: ¿En dónde va a pagar cárcel Timochenko? ¿En la Casa de Nariño?

¿Por qué les vamos a dar curules directas?

@lunadavid @ma…",[],"RT @danielpalam: ¿En dónde va a pagar cárcel Timochenko? ¿En la Casa de Nariño?

¿Por qué les vamos a dar curules directas?

@lunadavid @ma…"
736,2016-09-13 13:38:27,0,1411,775690105881321472,,1146,123SalvoPatria,"RT @jflafaurie: El único programa de ""Colombia Siembra"" que puede mostrar exitoso MinAgricultura es el cultivo de COCA: 170 mil hectáreas s…",[],"RT @jflafaurie: El único programa de ""Colombia Siembra"" que puede mostrar exitoso MinAgricultura es el cultivo de COCA: 170 mil hectáreas s…"
727,2016-09-19 16:16:59,0,1411,777904328099131392,,1099,123SalvoPatria,RT @AlvaroUribeVel: Decir NO el 2 de octubre es porque queremos una paz verdadera y no la entrega de Colombia a las FARC. https://t.co/SMrf…,"[('https://t.co/SMrf…', '', 'https://t.co/SMrf…', '')]",RT @AlvaroUribeVel: Decir NO el 2 de octubre es porque queremos una paz verdadera y no la entrega de Colombia a las FARC. 
722,2016-09-22 22:23:13,0,1411,779083660377063424,,796,123SalvoPatria,"RT @ALVAROHPRADA: #Video Chávez, Fidel y Santos son iguales y aquí lo demostramos. Por eso votemos NO y #RenegociemosLosAcuerdos https://t.…","[('https://t.…', '', 'https://t.…', '')]","RT @ALVAROHPRADA: #Video Chávez, Fidel y Santos son iguales y aquí lo demostramos. Por eso votemos NO y #RenegociemosLosAcuerdos "
719,2016-09-24 01:36:19,0,1411,779494642282799104,,627,123SalvoPatria,"RT @Dcabralescast: José Payares, topógrafo del aeropuerto Los Garzones denuncia inmovilización de su vehículo ""solo porque tengo calcomanía…",[],"RT @Dcabralescast: José Payares, topógrafo del aeropuerto Los Garzones denuncia inmovilización de su vehículo ""solo porque tengo calcomanía…"
731,2016-09-17 21:50:57,0,1411,777263600641708032,,618,123SalvoPatria,RT @OIZuluaga: Conozca las trampas de la alianza Santos-Farc referente a la participación política del grupo criminal. #YoDigoNO https://t.…,"[('https://t.…', '', 'https://t.…', '')]",RT @OIZuluaga: Conozca las trampas de la alianza Santos-Farc referente a la participación política del grupo criminal. #YoDigoNO 
701,2016-09-27 22:09:00,0,1411,780892019044585472,,597,123SalvoPatria,RT @AndresPastrana_: . #ConservadorVotaNO https://t.co/YZPyM29SMN,"[('https://t.co/YZPyM29SMN', '', 'https://t.co/YZPyM29SMN', '')]",RT @AndresPastrana_: . #ConservadorVotaNO 
673,2016-09-30 03:08:16,0,1411,781692107094458368,,509,123SalvoPatria,RT @natiibedoya: Mitos y Verdades de los Acuerdos de la Habana / Mensaje para @JuanManSantos #VotoNoAlPlebiscito #UnidosPorColombia #TodosA…,[],RT @natiibedoya: Mitos y Verdades de los Acuerdos de la Habana / Mensaje para @JuanManSantos #VotoNoAlPlebiscito #UnidosPorColombia #TodosA…
