,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
2739,2016-04-06 19:32:37,11,1046,717797176714375168,,27,UniversidadesCD,"Si @RoyBarreras, cuando aparecen las fortunas clandestinas los culpables activan las fachadas
.. https://t.co/Knly0Vi1Lm","[('https://t.co/Knly0Vi1Lm', '', 'https://t.co/Knly0Vi1Lm', '')]","Si @RoyBarreras, cuando aparecen las fortunas clandestinas los culpables activan las fachadas
.. "
2813,2016-03-23 17:22:46,0,1046,712691068572184576,,203,UniversidadesCD,RT @SHOYOS: Hoy radiqué denuncia sobre violaciones a la libertad de prensa en Colombia ante la @CIDH https://t.co/QcjHGEnh35,"[('https://t.co/QcjHGEnh35', '', 'https://t.co/QcjHGEnh35', '')]",RT @SHOYOS: Hoy radiqué denuncia sobre violaciones a la libertad de prensa en Colombia ante la @CIDH 
2768,2016-03-31 03:23:44,0,1046,715379022625185792,,890,UniversidadesCD,RT @gusgomez1701: La @PGN_COL le recuerda al ministro Cristo que su deber es proteger y no señalar y ofender a los Cabrales. https://t.co/K…,"[('https://t.co/K…', '', 'https://t.co/K…', '')]",RT @gusgomez1701: La @PGN_COL le recuerda al ministro Cristo que su deber es proteger y no señalar y ofender a los Cabrales. 
2783,2016-03-27 16:48:53,0,1046,714132090648989696,,843,UniversidadesCD,RT @gusgomez1701: Bandera de Colombia. Sin comentarios. https://t.co/Q1wjVz46ca,"[('https://t.co/Q1wjVz46ca', '', 'https://t.co/Q1wjVz46ca', '')]",RT @gusgomez1701: Bandera de Colombia. Sin comentarios. 
2811,2016-03-24 18:15:00,0,1046,713066601889849344,,1,UniversidadesCD,RT @Carlossa_B: @UniversidadesCD @CeDemocratico @PaolaHolguin @MariaFdaCabal @PalomaValenciaL Quisiera ver a Kerry dialogando con la cupula…,[],RT @Carlossa_B: @UniversidadesCD @CeDemocratico @PaolaHolguin @MariaFdaCabal @PalomaValenciaL Quisiera ver a Kerry dialogando con la cupula…
2836,2016-03-21 13:00:04,0,1046,711900181764153344,,80,UniversidadesCD,RT @CARLOSFMEJIA: 3.Qué dice @potus q en el Congreso de su país y de diferentes sectores le digan hasta el cansancio que los Castro siguen …,[],RT @CARLOSFMEJIA: 3.Qué dice @potus q en el Congreso de su país y de diferentes sectores le digan hasta el cansancio que los Castro siguen …
2865,2016-02-25 23:26:27,0,1046,702998119546527744,,621,UniversidadesCD,"RT @AlvaroUribeVel: Vídeo/ Declaración sobre los puntos que expuse hoy en reunión en la Corte Interamericana de Derechos Humanos
https://t.…","[('https://t.…', '', 'https://t.…', '')]","RT @AlvaroUribeVel: Vídeo/ Declaración sobre los puntos que expuse hoy en reunión en la Corte Interamericana de Derechos Humanos
"
2807,2016-03-24 18:16:41,0,1046,713067025283813376,,430,UniversidadesCD,RT @cmbustamante: ATENCIÓN: Este es el CUADRO FINAL de contactos y puntos de concentración de la marcha del 2 de Abril. https://t.co/zUUoU5…,"[('https://t.co/zUUoU5…', '', 'https://t.co/zUUoU5…', '')]",RT @cmbustamante: ATENCIÓN: Este es el CUADRO FINAL de contactos y puntos de concentración de la marcha del 2 de Abril. 
2791,2016-03-26 18:25:28,0,1046,713794010062725120,,142,UniversidadesCD,RT @CARLOSFMEJIA: 3. #CatatumboFarcSiSonTerroristas Estas masacres a nuestra Fuerza Pública si ocurrieron asesino. https://t.co/hMN2FUsV9U,"[('https://t.co/hMN2FUsV9U', '', 'https://t.co/hMN2FUsV9U', '')]",RT @CARLOSFMEJIA: 3. #CatatumboFarcSiSonTerroristas Estas masacres a nuestra Fuerza Pública si ocurrieron asesino. 
2826,2016-03-22 16:31:45,0,1046,712315839907766272,,114,UniversidadesCD,"RT @CARLOSFMEJIA: 10.@JohnKerry Como con la paz no hay diferencias,cuando empiezan diálogos con AlQaeda?? Lo de las Torres Gemelas está olv…",[],"RT @CARLOSFMEJIA: 10.@JohnKerry Como con la paz no hay diferencias,cuando empiezan diálogos con AlQaeda?? Lo de las Torres Gemelas está olv…"
