,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
2382,2016-10-01 18:55:58,0,1046,782292992598110208,,3012,UniversidadesCD,RT @OIZuluaga: Santos me tildó de mentiroso en campaña presidencial por advertir que Timochenko estaría en el Congreso. ¿Quién miente? Esta…,[],RT @OIZuluaga: Santos me tildó de mentiroso en campaña presidencial por advertir que Timochenko estaría en el Congreso. ¿Quién miente? Esta…
2445,2016-08-25 01:49:32,0,1046,768626330250440704,,769,UniversidadesCD,"RT @cmbustamante: Van a publicar acuerdos sin firmar, TRAMPA.Por eso usan a Arias como zanahoria,quieren q Uribistas nos distraigamos.Podem…",[],"RT @cmbustamante: Van a publicar acuerdos sin firmar, TRAMPA.Por eso usan a Arias como zanahoria,quieren q Uribistas nos distraigamos.Podem…"
2452,2016-08-12 00:40:29,0,1046,763897913458192384,,682,UniversidadesCD,RT @AlvaroUribeVel: A los colombianos les duele la familia y los niños https://t.co/KCLdNM8zgr,"[('https://t.co/KCLdNM8zgr', '', 'https://t.co/KCLdNM8zgr', '')]",RT @AlvaroUribeVel: A los colombianos les duele la familia y los niños 
2462,2016-08-07 13:56:50,0,1046,762286380881969152,,676,UniversidadesCD,"RT @camilosilvaj: Inflación en Colombia alcanza niveles que no veíamos desde hace 16 años 

Inflación Actual 8.97% https://t.co/oChloeUBGK","[('https://t.co/oChloeUBGK', '', 'https://t.co/oChloeUBGK', '')]","RT @camilosilvaj: Inflación en Colombia alcanza niveles que no veíamos desde hace 16 años 

Inflación Actual 8.97% "
2398,2016-09-27 12:26:38,0,1046,780745460860542976,,498,UniversidadesCD,RT @AlvaroUribeVel: #ColombiaNoSeEntrega https://t.co/MibrsrJEYN,"[('https://t.co/MibrsrJEYN', '', 'https://t.co/MibrsrJEYN', '')]",RT @AlvaroUribeVel: #ColombiaNoSeEntrega 
2393,2016-09-30 17:30:09,0,1046,781909007040712704,,442,UniversidadesCD,"RT @paoguerreroi: #Denuncia Alcalde Salomón Díaz de Otanche Boyacá dice en las Veredas q si no gana el Si, Santos no envía recursos. https:…",[],"RT @paoguerreroi: #Denuncia Alcalde Salomón Díaz de Otanche Boyacá dice en las Veredas q si no gana el Si, Santos no envía recursos. "
2427,2016-09-07 15:55:46,0,1046,773550334174175232,,423,UniversidadesCD,"RT @AlvaroUribeVel: ""Yo no le gasto tiempo al odio”: Uribe  https://t.co/ppkOHqXQAT vía @RevistaSemana","[('https://t.co/ppkOHqXQAT', '', 'https://t.co/ppkOHqXQAT', '')]","RT @AlvaroUribeVel: ""Yo no le gasto tiempo al odio”: Uribe   vía @RevistaSemana"
2383,2016-10-01 18:55:37,0,1046,782292903347519488,,411,UniversidadesCD,"RT @CarlosHolmesTru: Desde Bogotá con mucho entusiasmo, alegría y esperanza avanza #CaravanaPorElNo #PorLaPazVotaNo @CeDemocratico https://…","[('https://…', '', 'https://…', '')]","RT @CarlosHolmesTru: Desde Bogotá con mucho entusiasmo, alegría y esperanza avanza #CaravanaPorElNo #PorLaPazVotaNo @CeDemocratico "
2402,2016-09-26 23:04:17,0,1046,780543546508054528,,399,UniversidadesCD,"RT @AlvaroUribeVel: 4. @CNNEEpor qué comunidad internacional apoya q puedan ser elegidos terroristas FARC peligrosos como Bin Laden, Abimae…",[],"RT @AlvaroUribeVel: 4. @CNNEEpor qué comunidad internacional apoya q puedan ser elegidos terroristas FARC peligrosos como Bin Laden, Abimae…"
2461,2016-08-11 22:01:01,0,1046,763857780444987392,,367,UniversidadesCD,RT @OrlandoGuete: ¡Hoy Colombia se pronunció en defensa de la familia y en contra del adoctrinamiento de género a nuestros niños! https://t…,"[('https://t…', '', 'https://t…', '')]",RT @OrlandoGuete: ¡Hoy Colombia se pronunció en defensa de la familia y en contra del adoctrinamiento de género a nuestros niños! 
