,id,created_at,text,retweet_count,favorite_count,URL,texto
1093,782528177658793988,2016-10-02 10:30:30,"Ojalá que hoy la asistencia a las urnas sea masiva, que los ciudadanos tomen un papel activo en esta decisión tan importante. #Plebiscito",4,1,[],"Ojalá que hoy la asistencia a las urnas sea masiva, que los ciudadanos tomen un papel activo en esta decisión tan importante. #Plebiscito"
1094,782346204445302784,2016-10-01 22:27:25,!Gracias! @CruzRojaAntioq III Foro de Periodismo #SomosPaz https://t.co/nYxtZXDHrq https://t.co/1Bmq3zvUIY,3,5,"[('https://t.co/nYxtZXDHrq', '', 'https://t.co/nYxtZXDHrq', ''), ('https://t.co/1Bmq3zvUIY', '', 'https://t.co/1Bmq3zvUIY', '')]",!Gracias! @CruzRojaAntioq III Foro de Periodismo #SomosPaz  
1095,782219430587695105,2016-10-01 14:03:39,"""Cuando uno perdona vive tranquilo, con esperanza..."" Alicia Murillo #LaChinita @JorgeMarioAlza2 @UnidadVictimas… https://t.co/IpxVrgIYqn",5,3,"[('https://t.co/IpxVrgIYqn', '', 'https://t.co/IpxVrgIYqn', '')]","""Cuando uno perdona vive tranquilo, con esperanza..."" Alicia Murillo #LaChinita @JorgeMarioAlza2 @UnidadVictimas… "
1096,782045868799164416,2016-10-01 02:33:59,"RT @herrerak11: ""Hacer la guerra con sangre ajena es muy fácil"" Una reflexión muy interesante. #Podemos @lluevelove @luisyepesb @OSHUMOTO @…",18,0,[],"RT @herrerak11: ""Hacer la guerra con sangre ajena es muy fácil"" Una reflexión muy interesante. #Podemos @lluevelove @luisyepesb @OSHUMOTO @…"
1097,781910111400947712,2016-09-30 17:34:32,"Recorrido simbólico desde la nueva calle de La Esperanza. Los nombres de las víctimas de la masacre, presentes… https://t.co/5gQXjy6vIx",6,4,"[('https://t.co/5gQXjy6vIx', '', 'https://t.co/5gQXjy6vIx', '')]","Recorrido simbólico desde la nueva calle de La Esperanza. Los nombres de las víctimas de la masacre, presentes… "
1098,781889527371694081,2016-09-30 16:12:44,Recorrido simbólico desde la nueva calle de La Esperanza. El #LaChinita @FARC_EPaz piden perdón por masacre… https://t.co/9BYykY4POx,1,1,"[('https://t.co/9BYykY4POx', '', 'https://t.co/9BYykY4POx', '')]",Recorrido simbólico desde la nueva calle de La Esperanza. El #LaChinita @FARC_EPaz piden perdón por masacre… 
1099,781519054506983424,2016-09-29 15:40:37,24 horas de caminata por La Paz #SiembraPaz. #Medellín https://t.co/7QFUoXHxYI,1,3,"[('https://t.co/7QFUoXHxYI', '', 'https://t.co/7QFUoXHxYI', '')]",24 horas de caminata por La Paz #SiembraPaz. #Medellín 
1100,781287296368861184,2016-09-29 00:19:41,"RT @Funuvida: ¡@PazAlParque llega nuevamente a Medellín con #AntioquiaLeCantaALaPaz! ¡Te esperamos! 30 de sep, Parque de las Luces a partir…",6,0,[],"RT @Funuvida: ¡@PazAlParque llega nuevamente a Medellín con #AntioquiaLeCantaALaPaz! ¡Te esperamos! 30 de sep, Parque de las Luces a partir…"
1101,781196125038583808,2016-09-28 18:17:24,"RT @RaulCardonaENV: En Envigado hay garantía total para el domingo, hay un comité de seguimiento electoral con todas las autoridades y prom…",6,0,[],"RT @RaulCardonaENV: En Envigado hay garantía total para el domingo, hay un comité de seguimiento electoral con todas las autoridades y prom…"
1102,781145703263379456,2016-09-28 14:57:03,"""Lo que hizo @Timochenko_FARC en Cartagena genera confianza, pedir perdón es muy importante"" @JaimeFajardoLan https://t.co/VFtQbHOxrV",1,3,"[('https://t.co/VFtQbHOxrV', '', 'https://t.co/VFtQbHOxrV', '')]","""Lo que hizo @Timochenko_FARC en Cartagena genera confianza, pedir perdón es muy importante"" @JaimeFajardoLan "
1103,781142982921773056,2016-09-28 14:46:14,"RT @glemismogollon: Lo que se refrendará el 2 de octubre ""es un gran impulso a la Constitución del 91"": Foro de #AcuerdoDePaz  @estrategiad…",1,0,[],"RT @glemismogollon: Lo que se refrendará el 2 de octubre ""es un gran impulso a la Constitución del 91"": Foro de #AcuerdoDePaz  @estrategiad…"
1104,781142385308930048,2016-09-28 14:43:52,"""El acuerdo abre puertas muy importantes y nos va a crear unas mejores condiciones para debatir otros temas""… https://t.co/MbaNEv94Df",6,2,"[('https://t.co/MbaNEv94Df', '', 'https://t.co/MbaNEv94Df', '')]","""El acuerdo abre puertas muy importantes y nos va a crear unas mejores condiciones para debatir otros temas""… "
1105,781130694030401536,2016-09-28 13:57:24,"""Es posible que con este acuerdo no lleguemos a la Paz positiva, en las garantías de los derechos fundamentales,  pero cominenza el camino""",1,2,[],"""Es posible que con este acuerdo no lleguemos a la Paz positiva, en las garantías de los derechos fundamentales,  pero cominenza el camino"""
1106,781128756966588416,2016-09-28 13:49:42,RT @UNISABANETA: Presentes en el Gran Foro Acuerdos de Paz. Primer Panel haciendo memoria histórica para evaluar el impacto de los acuerdos…,1,0,[],RT @UNISABANETA: Presentes en el Gran Foro Acuerdos de Paz. Primer Panel haciendo memoria histórica para evaluar el impacto de los acuerdos…
1107,781128648392904704,2016-09-28 13:49:17,"""El reto más grande es la corresponsabilidad de todos frente a los desmovilizados. Muchos son víctimas"" Paulo Serna, ACR @prensaciudadsur",3,1,[],"""El reto más grande es la corresponsabilidad de todos frente a los desmovilizados. Muchos son víctimas"" Paulo Serna, ACR @prensaciudadsur"
1108,780889360837316608,2016-09-27 21:58:26,"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin",10,12,[],"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin"
1109,780858413823721473,2016-09-27 19:55:28,RT @glemismogollon: #YORECOMIENDO. Para quienes quieran saber más del #acuerdodepaz @ComisionadoPaz @SumateAlSi @SiALaPaz @MujeresPaz https…,1,0,[],RT @glemismogollon: #YORECOMIENDO. Para quienes quieran saber más del #acuerdodepaz @ComisionadoPaz @SumateAlSi @SiALaPaz @MujeresPaz 
1110,780846323276845057,2016-09-27 19:07:25,¿Quieres saber cuál es el impacto del Acuerdo de Paz en el Sur del Valle de Aburrá? Les contamos en… https://t.co/p6b1nvhH9h,5,6,"[('https://t.co/p6b1nvhH9h', '', 'https://t.co/p6b1nvhH9h', '')]",¿Quieres saber cuál es el impacto del Acuerdo de Paz en el Sur del Valle de Aburrá? Les contamos en… 
1111,780551594731532288,2016-09-26 23:36:16,"RT @herrerak11: ""Hay una guerra menos en el mundo y es la de Colombia"". @JuanManSantos Aplauden ciudadanos en #Medellín #TANoticias #LaPúbl…",50,0,[],"RT @herrerak11: ""Hay una guerra menos en el mundo y es la de Colombia"". @JuanManSantos Aplauden ciudadanos en #Medellín #TANoticias #LaPúbl…"
