,id,created_at,text,retweet_count,favorite_count,URL,texto
1111,780551594731532288,2016-09-26 23:36:16,"RT @herrerak11: ""Hay una guerra menos en el mundo y es la de Colombia"". @JuanManSantos Aplauden ciudadanos en #Medellín #TANoticias #LaPúbl…",50,0,[],"RT @herrerak11: ""Hay una guerra menos en el mundo y es la de Colombia"". @JuanManSantos Aplauden ciudadanos en #Medellín #TANoticias #LaPúbl…"
1115,780173838021718022,2016-09-25 22:35:12,"RT @alejocalleCS: Natasha vive en Itagüí, pide que cesen los fusiles para que campesinos vuelvan a sus tierras. ¡Itagüí quiere la paz! http…",19,0,[],"RT @alejocalleCS: Natasha vive en Itagüí, pide que cesen los fusiles para que campesinos vuelvan a sus tierras. ¡Itagüí quiere la paz! "
1096,782045868799164416,2016-10-01 02:33:59,"RT @herrerak11: ""Hacer la guerra con sangre ajena es muy fácil"" Una reflexión muy interesante. #Podemos @lluevelove @luisyepesb @OSHUMOTO @…",18,0,[],"RT @herrerak11: ""Hacer la guerra con sangre ajena es muy fácil"" Una reflexión muy interesante. #Podemos @lluevelove @luisyepesb @OSHUMOTO @…"
1174,759937817409572864,2016-08-01 02:24:29,Link para inscripciones al 3er Foro de Periodismo organizado por @CruzRojaAntioq https://t.co/K7V7s2EO5h https://t.co/8HX2kFFg1E,13,7,"[('https://t.co/K7V7s2EO5h', '', 'https://t.co/K7V7s2EO5h', ''), ('https://t.co/8HX2kFFg1E', '', 'https://t.co/8HX2kFFg1E', '')]",Link para inscripciones al 3er Foro de Periodismo organizado por @CruzRojaAntioq  
1154,774049817597140992,2016-09-09 01:00:32,RT @herrerak11: Los esperamos a las 8:00 para analizar el punto 2 del acuerdo final: Participación Política. Especial #TANoticias https://t…,11,0,"[('https://t…', '', 'https://t…', '')]",RT @herrerak11: Los esperamos a las 8:00 para analizar el punto 2 del acuerdo final: Participación Política. Especial #TANoticias 
1108,780889360837316608,2016-09-27 21:58:26,"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin",10,12,[],"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin"
1113,780507095456178176,2016-09-26 20:39:27,#TierraDePaz empieza a llegar la gente hasta @Teatropablot para vivir juntos la #FirmaDeLaPaz #Medellín https://t.co/QymhRvGIxJ,10,8,"[('https://t.co/QymhRvGIxJ', '', 'https://t.co/QymhRvGIxJ', '')]",#TierraDePaz empieza a llegar la gente hasta @Teatropablot para vivir juntos la #FirmaDeLaPaz #Medellín 
1140,778952010808848384,2016-09-22 13:40:06,"""En realidad la guerra se despierta ante todo con la palabra. La guerra es dulce para quienes no la han experimenta… https://t.co/I5l3lLeKM7",8,4,"[('https://t.co/I5l3lLeKM7', '', 'https://t.co/I5l3lLeKM7', '')]","""En realidad la guerra se despierta ante todo con la palabra. La guerra es dulce para quienes no la han experimenta… "
1143,778945662423629825,2016-09-22 13:14:52,RT @CruzRojaAntioq: III Foro de Periodismo: Retos del Periodismo Urbano en Construcción de una Sana Convivencia #CruzRoja #CulturadePaz htt…,8,0,[],RT @CruzRojaAntioq: III Foro de Periodismo: Retos del Periodismo Urbano en Construcción de una Sana Convivencia #CruzRoja #CulturadePaz htt…
1138,778953563665989632,2016-09-22 13:46:16,RT @santilpz: Gracias a la @CruzRojaAntioq por crear espacios para una #CulturadePaz desde el periodismo! https://t.co/SQzt5mS1T5,7,0,"[('https://t.co/SQzt5mS1T5', '', 'https://t.co/SQzt5mS1T5', '')]",RT @santilpz: Gracias a la @CruzRojaAntioq por crear espacios para una #CulturadePaz desde el periodismo! 
