,id,created_at,text,retweet_count,favorite_count,URL,texto
1095,782219430587695105,2016-10-01 14:03:39,"""Cuando uno perdona vive tranquilo, con esperanza..."" Alicia Murillo #LaChinita @JorgeMarioAlza2 @UnidadVictimas… https://t.co/IpxVrgIYqn",5,3,"[('https://t.co/IpxVrgIYqn', '', 'https://t.co/IpxVrgIYqn', '')]","""Cuando uno perdona vive tranquilo, con esperanza..."" Alicia Murillo #LaChinita @JorgeMarioAlza2 @UnidadVictimas… "
1104,781142385308930048,2016-09-28 14:43:52,"""El acuerdo abre puertas muy importantes y nos va a crear unas mejores condiciones para debatir otros temas""… https://t.co/MbaNEv94Df",6,2,"[('https://t.co/MbaNEv94Df', '', 'https://t.co/MbaNEv94Df', '')]","""El acuerdo abre puertas muy importantes y nos va a crear unas mejores condiciones para debatir otros temas""… "
1115,780173838021718022,2016-09-25 22:35:12,"RT @alejocalleCS: Natasha vive en Itagüí, pide que cesen los fusiles para que campesinos vuelvan a sus tierras. ¡Itagüí quiere la paz! http…",19,0,[],"RT @alejocalleCS: Natasha vive en Itagüí, pide que cesen los fusiles para que campesinos vuelvan a sus tierras. ¡Itagüí quiere la paz! "
1121,779044897865265152,2016-09-22 19:49:12,"RT @CruzRojaAntioq: Estrategias de Paz, aliado en III Foro de Periodismo, comparte su experiencia en pedagogía para la paz y convivencia. #…",4,0,[],"RT @CruzRojaAntioq: Estrategias de Paz, aliado en III Foro de Periodismo, comparte su experiencia en pedagogía para la paz y convivencia. #…"
1137,778955944298438656,2016-09-22 13:55:44,"Propuesta para periodistas, usar el leguaje de DIH para desarmar la palabra. #CulturaDePaz #SomosPaz @CruzRojaAntioq https://t.co/aPmTFI2Ojq",3,5,"[('https://t.co/aPmTFI2Ojq', '', 'https://t.co/aPmTFI2Ojq', '')]","Propuesta para periodistas, usar el leguaje de DIH para desarmar la palabra. #CulturaDePaz #SomosPaz @CruzRojaAntioq "
1093,782528177658793988,2016-10-02 10:30:30,"Ojalá que hoy la asistencia a las urnas sea masiva, que los ciudadanos tomen un papel activo en esta decisión tan importante. #Plebiscito",4,1,[],"Ojalá que hoy la asistencia a las urnas sea masiva, que los ciudadanos tomen un papel activo en esta decisión tan importante. #Plebiscito"
1131,778987494671081473,2016-09-22 16:01:06,RT @CruzRojaAntioq: El Dr. Carlos Raúl Yepes nos acompaña en el III Foro de Periodismo #CulturadePaz #CruzRoja https://t.co/J9cOLvUkZL,3,0,"[('https://t.co/J9cOLvUkZL', '', 'https://t.co/J9cOLvUkZL', '')]",RT @CruzRojaAntioq: El Dr. Carlos Raúl Yepes nos acompaña en el III Foro de Periodismo #CulturadePaz #CruzRoja 
1112,780513721584128002,2016-09-26 21:05:47,Una invitación para los ciudadanos del Sur del Valle de Aburrá @prensaciudadsur https://t.co/nntuPyrUCp,1,0,"[('https://t.co/nntuPyrUCp', '', 'https://t.co/nntuPyrUCp', '')]",Una invitación para los ciudadanos del Sur del Valle de Aburrá @prensaciudadsur 
1113,780507095456178176,2016-09-26 20:39:27,#TierraDePaz empieza a llegar la gente hasta @Teatropablot para vivir juntos la #FirmaDeLaPaz #Medellín https://t.co/QymhRvGIxJ,10,8,"[('https://t.co/QymhRvGIxJ', '', 'https://t.co/QymhRvGIxJ', '')]",#TierraDePaz empieza a llegar la gente hasta @Teatropablot para vivir juntos la #FirmaDeLaPaz #Medellín 
1145,778758218113843201,2016-09-22 00:50:02,"""O tomamos esta oportunidad o como me dijo un día Alfonso Cano, nos vemos dentro de miles de muertos"". #HumbertodeLaCalle #Medellín",3,2,[],"""O tomamos esta oportunidad o como me dijo un día Alfonso Cano, nos vemos dentro de miles de muertos"". #HumbertodeLaCalle #Medellín"
1114,780174139072143361,2016-09-25 22:36:24,RT @alejocalleCS: ¡Gran Foro @prensaciudadsur Acuerdos de Paz! https://t.co/uLvNzAJNW1,1,0,"[('https://t.co/uLvNzAJNW1', '', 'https://t.co/uLvNzAJNW1', '')]",RT @alejocalleCS: ¡Gran Foro @prensaciudadsur Acuerdos de Paz! 
1170,760842153748729856,2016-08-03 14:17:59,Votar por la Paz no es estar a favor del presidente Santos. Los acuerdos de la Habana son el inicio de la construcción colectiva de la Paz,7,2,[],Votar por la Paz no es estar a favor del presidente Santos. Los acuerdos de la Habana son el inicio de la construcción colectiva de la Paz
1101,781196125038583808,2016-09-28 18:17:24,"RT @RaulCardonaENV: En Envigado hay garantía total para el domingo, hay un comité de seguimiento electoral con todas las autoridades y prom…",6,0,[],"RT @RaulCardonaENV: En Envigado hay garantía total para el domingo, hay un comité de seguimiento electoral con todas las autoridades y prom…"
1108,780889360837316608,2016-09-27 21:58:26,"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin",10,12,[],"""Todos nos vamos a tener que reinventarnos para La Paz"" @ClaudiaLopez en #Medellín. Pedagogía de los Acuerdos. @ConcejoMedellin"
1097,781910111400947712,2016-09-30 17:34:32,"Recorrido simbólico desde la nueva calle de La Esperanza. Los nombres de las víctimas de la masacre, presentes… https://t.co/5gQXjy6vIx",6,4,"[('https://t.co/5gQXjy6vIx', '', 'https://t.co/5gQXjy6vIx', '')]","Recorrido simbólico desde la nueva calle de La Esperanza. Los nombres de las víctimas de la masacre, presentes… "
1136,778958440211316736,2016-09-22 14:05:39,"""No podemos confundir hechos con opiniones"" Reflexiones en III Foro de Periodismo. #CulturaDePaz @CruzRojaAntioq… https://t.co/WFTyfvpNOj",1,1,"[('https://t.co/WFTyfvpNOj', '', 'https://t.co/WFTyfvpNOj', '')]","""No podemos confundir hechos con opiniones"" Reflexiones en III Foro de Periodismo. #CulturaDePaz @CruzRojaAntioq… "
