,id,created_at,text,retweet_count,favorite_count,URL,texto
1286,753648794798030848,2016-07-14 17:54:09,"""Apoyar el proceso de paz es darnos la oportunidad de no repetir los errores del pasado"" #El15SiMeMuevoPorLaPaz https://t.co/w7p0fCEO5b",2,0,"[('https://t.co/w7p0fCEO5b', '', 'https://t.co/w7p0fCEO5b', '')]","""Apoyar el proceso de paz es darnos la oportunidad de no repetir los errores del pasado"" #El15SiMeMuevoPorLaPaz "
1259,754099143208034305,2016-07-15 23:43:40,#LaPazSiEsContigo La campaña por el sí a la paz es ciudadana no de los políticos. El futuro de Colombia es nuestro https://t.co/kD8OoIPM1k,7,7,"[('https://t.co/kD8OoIPM1k', '', 'https://t.co/kD8OoIPM1k', '')]",#LaPazSiEsContigo La campaña por el sí a la paz es ciudadana no de los políticos. El futuro de Colombia es nuestro 
1499,740911354996002816,2016-06-09 14:20:07,A esta hora alumnos de Colegio Marco Fidel Suarez reciben taller pedagogía de paz de @yobanymontilla2 #SíQuieroLaPaz https://t.co/BAumSGjn0H,2,1,"[('https://t.co/BAumSGjn0H', '', 'https://t.co/BAumSGjn0H', '')]",A esta hora alumnos de Colegio Marco Fidel Suarez reciben taller pedagogía de paz de @yobanymontilla2 #SíQuieroLaPaz 
1238,755213760130867200,2016-07-19 01:32:46,#PorLaPazVotoSÍ decimos los padres de familia https://t.co/P2x9tPpS3l,3,2,"[('https://t.co/P2x9tPpS3l', '', 'https://t.co/P2x9tPpS3l', '')]",#PorLaPazVotoSÍ decimos los padres de familia 
1427,746017305813999620,2016-06-23 16:29:20,"En Brighton, Reino Unido Colombianos celebran el #AdiosALaGuerra https://t.co/AoprZUWDYY",5,8,"[('https://t.co/AoprZUWDYY', '', 'https://t.co/AoprZUWDYY', '')]","En Brighton, Reino Unido Colombianos celebran el #AdiosALaGuerra "
1454,745060526514802688,2016-06-21 01:07:26,"""Es muy importante que los maestros nos apropiemos de la realidad de lo que está sucediendo en el País"" #ForjandoPaz https://t.co/gW3DqhPNFi",8,6,"[('https://t.co/gW3DqhPNFi', '', 'https://t.co/gW3DqhPNFi', '')]","""Es muy importante que los maestros nos apropiemos de la realidad de lo que está sucediendo en el País"" #ForjandoPaz "
1334,751208820517531648,2016-07-08 00:18:34,#MeMuevoEl15PorLaPaz y este sábado nos vamos de #BiciPAZeo con la gente de @ConcienBiciate https://t.co/ZS3eUTVKw9,10,4,"[('https://t.co/ZS3eUTVKw9', '', 'https://t.co/ZS3eUTVKw9', '')]",#MeMuevoEl15PorLaPaz y este sábado nos vamos de #BiciPAZeo con la gente de @ConcienBiciate 
1490,741487002504290305,2016-06-11 04:27:32,"RT @Colombia_Vital: Esto pasa a esta hora en Suba, se enciende la #LlamaPorLaPaz que esta cerca   #SíQuieroLaPaz https://t.co/XjbGkAp8C2",2,0,"[('https://t.co/XjbGkAp8C2', '', 'https://t.co/XjbGkAp8C2', '')]","RT @Colombia_Vital: Esto pasa a esta hora en Suba, se enciende la #LlamaPorLaPaz que esta cerca   #SíQuieroLaPaz "
1218,756220250459402240,2016-07-21 20:12:12,Dejemos de matarnos https://t.co/jOet9I4h5f,1,0,"[('https://t.co/jOet9I4h5f', '', 'https://t.co/jOet9I4h5f', '')]",Dejemos de matarnos 
1422,746043652410052609,2016-06-23 18:14:02,Miles de millones de dólares para la guerra que ahora se invertirán en justicia social para la PAZ #AdiosALaGuerra https://t.co/OFsLqjiPAG,6,11,"[('https://t.co/OFsLqjiPAG', '', 'https://t.co/OFsLqjiPAG', '')]",Miles de millones de dólares para la guerra que ahora se invertirán en justicia social para la PAZ #AdiosALaGuerra 
1158,759403088155402240,2016-07-30 14:59:39,"BiciPAZeo mañana en Bogotá. Ya le apostamos a la guerra y llevamos 60 años perdiendo, es hora de apostarle a la Paz https://t.co/nB12d5KK2B",3,0,"[('https://t.co/nB12d5KK2B', '', 'https://t.co/nB12d5KK2B', '')]","BiciPAZeo mañana en Bogotá. Ya le apostamos a la guerra y llevamos 60 años perdiendo, es hora de apostarle a la Paz "
1255,755042198371041280,2016-07-18 14:11:02,RT @Yemeal12: Cantagallo le dice SI a la paz con el  #chalupiandoporlapaz.  @dumek_turbay  @FORJANDOPAZ @bolivarsiavanza https://t.co/9amP8…,2,0,"[('https://t.co/9amP8…', '', 'https://t.co/9amP8…', '')]",RT @Yemeal12: Cantagallo le dice SI a la paz con el  #chalupiandoporlapaz.  @dumek_turbay  @FORJANDOPAZ @bolivarsiavanza 
1497,741087735520329728,2016-06-10 02:00:59,Taller de Paz en Hunza (Suba) con estudiantes de la @UniJaveriana que conviven con la comunidad #SíQuieroLaPaz https://t.co/yYjOUhuGaC,3,2,"[('https://t.co/yYjOUhuGaC', '', 'https://t.co/yYjOUhuGaC', '')]",Taller de Paz en Hunza (Suba) con estudiantes de la @UniJaveriana que conviven con la comunidad #SíQuieroLaPaz 
1462,744672634189844481,2016-06-19 23:26:05,"La paz nos engrandece como especie"" @DianaUribeHisto #ForjandoPaz  https://t.co/w7p0fCEO5b",7,2,"[('https://t.co/w7p0fCEO5b', '', 'https://t.co/w7p0fCEO5b', '')]","La paz nos engrandece como especie"" @DianaUribeHisto #ForjandoPaz  "
1506,740230439286214657,2016-06-07 17:14:24,Estamos en cátedra de Paz en el colegio San Jose de kennedy #SíQuieroLaPaz https://t.co/d7dy6wyqh6,0,0,"[('https://t.co/d7dy6wyqh6', '', 'https://t.co/d7dy6wyqh6', '')]",Estamos en cátedra de Paz en el colegio San Jose de kennedy #SíQuieroLaPaz 
1517,734150803053776896,2016-05-21 22:36:05,RT @CarlosSaenz_Col: CLOPEZanalista: Por todo el país las ciudadanías y sus organizaciones haciendo pedagogía por La Paz #LaPazEsImpara… ht…,1,0,[],RT @CarlosSaenz_Col: CLOPEZanalista: Por todo el país las ciudadanías y sus organizaciones haciendo pedagogía por La Paz #LaPazEsImpara… ht…
1202,757607877649559554,2016-07-25 16:06:08,Recorrido por Nariño del equipo pedagógico #ForjandoPaz que enseña a las comunidades el significado social de la paz https://t.co/JhCD5lDxuL,3,2,"[('https://t.co/JhCD5lDxuL', '', 'https://t.co/JhCD5lDxuL', '')]",Recorrido por Nariño del equipo pedagógico #ForjandoPaz que enseña a las comunidades el significado social de la paz 
1308,752913151545450496,2016-07-12 17:10:58,Hoy en @escuelatallerbo estamos en taller de pedagogía de Paz ✌   Estamos #ForjandoPaz https://t.co/AAS0bWfATs,7,5,"[('https://t.co/AAS0bWfATs', '', 'https://t.co/AAS0bWfATs', '')]",Hoy en @escuelatallerbo estamos en taller de pedagogía de Paz ✌   Estamos #ForjandoPaz 
1269,754009685318045696,2016-07-15 17:48:12,Así se va a mover la fiesta por la Paz hoy en Bogotá. ¿TU QUE VAS A HACER? #LaPazSiEsContigo https://t.co/EB6uyKv3oL,2,1,"[('https://t.co/EB6uyKv3oL', '', 'https://t.co/EB6uyKv3oL', '')]",Así se va a mover la fiesta por la Paz hoy en Bogotá. ¿TU QUE VAS A HACER? #LaPazSiEsContigo 
1416,746162539680141312,2016-06-24 02:06:27,RT @manizalea: Por estás lindas personitas es que tenemos que luchar por la paz que está naciendo.  #ElFinDeLaGuerra esta cerca https://t.c…,2,0,"[('https://t.c…', '', 'https://t.c…', '')]",RT @manizalea: Por estás lindas personitas es que tenemos que luchar por la paz que está naciendo.  #ElFinDeLaGuerra esta cerca 
1271,754007013105995776,2016-07-15 17:37:35,Fiesta en Nariño porque #LaPazSiEsContigo https://t.co/wA5FqIZB3M,2,1,"[('https://t.co/wA5FqIZB3M', '', 'https://t.co/wA5FqIZB3M', '')]",Fiesta en Nariño porque #LaPazSiEsContigo 
1425,746025126303506432,2016-06-23 17:00:25,"Y así celebramos en Bogotá la oportunidad de un nuevo comienzo, un nuevo país con Justicia social #AdiosALaGuerra https://t.co/yqYvBz5gvl",6,7,"[('https://t.co/yqYvBz5gvl', '', 'https://t.co/yqYvBz5gvl', '')]","Y así celebramos en Bogotá la oportunidad de un nuevo comienzo, un nuevo país con Justicia social #AdiosALaGuerra "
1359,749716686496997376,2016-07-03 21:29:21,Una generación de jóvenes que están con la Paz de Colombia: Paz y Rock &amp; Roll   Estamos #ForjandoPaz #SíQuieroLaPaz https://t.co/QVb27oW3nc,3,2,"[('https://t.co/QVb27oW3nc', '', 'https://t.co/QVb27oW3nc', '')]",Una generación de jóvenes que están con la Paz de Colombia: Paz y Rock &amp; Roll   Estamos #ForjandoPaz #SíQuieroLaPaz 
1348,750350922732175361,2016-07-05 15:29:35,"Taller #ForjandoPaz en Funza con mujeres estudiantes, trabajadoras y artesanas de proyectos productivos y sociales https://t.co/yJPWDpBAcX",2,2,"[('https://t.co/yJPWDpBAcX', '', 'https://t.co/yJPWDpBAcX', '')]","Taller #ForjandoPaz en Funza con mujeres estudiantes, trabajadoras y artesanas de proyectos productivos y sociales "
1393,747194191608963077,2016-06-26 22:25:52,#ForjandoPAZ ¿Qué se acordó en La Habana? R/: Construir infraestructura nacional. https://t.co/E1iXEgU36W https://t.co/JHAslDQgxC,9,3,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/JHAslDQgxC', '', 'https://t.co/JHAslDQgxC', '')]",#ForjandoPAZ ¿Qué se acordó en La Habana? R/: Construir infraestructura nacional.  
1331,751211842949775361,2016-07-08 00:30:34,Porque la vida prima sobre los intereses de los guerreristas #MeMuevoEl15PorLaPaz https://t.co/0qAcza5d8x,3,1,"[('https://t.co/0qAcza5d8x', '', 'https://t.co/0qAcza5d8x', '')]",Porque la vida prima sobre los intereses de los guerreristas #MeMuevoEl15PorLaPaz 
1366,749269305204801536,2016-07-02 15:51:37,Vea aquí porque existe el #ElChicharronDeLaTierra en Colombia https://t.co/wFiubeOeHB,2,0,"[('https://t.co/wFiubeOeHB', '', 'https://t.co/wFiubeOeHB', '')]",Vea aquí porque existe el #ElChicharronDeLaTierra en Colombia 
1260,754088350999519232,2016-07-15 23:00:47,"La paz no es de Santos, ni de Uribe, ni de Vargas Lleras, ni de ningún político, la paz es nuestra dicen los jóvenes https://t.co/k1kAWSPUDw",9,7,"[('https://t.co/k1kAWSPUDw', '', 'https://t.co/k1kAWSPUDw', '')]","La paz no es de Santos, ni de Uribe, ni de Vargas Lleras, ni de ningún político, la paz es nuestra dicen los jóvenes "
1268,754010653795442688,2016-07-15 17:52:03,"#LaPazSiEsContigo, la paz no es de ningún político, la paz es tu derecho y la oportunidad de un nuevo País https://t.co/6eBbsSyJF0",3,1,"[('https://t.co/6eBbsSyJF0', '', 'https://t.co/6eBbsSyJF0', '')]","#LaPazSiEsContigo, la paz no es de ningún político, la paz es tu derecho y la oportunidad de un nuevo País "
1347,750351928207499266,2016-07-05 15:33:35,Tejiendo una palabra de paz con mujeres de Funza (Cundinamarca) en taller de pedagogía de Paz  Estamos #ForjandoPaz https://t.co/sbxU9VjFys,1,2,"[('https://t.co/sbxU9VjFys', '', 'https://t.co/sbxU9VjFys', '')]",Tejiendo una palabra de paz con mujeres de Funza (Cundinamarca) en taller de pedagogía de Paz  Estamos #ForjandoPaz 
1301,753315594112499712,2016-07-13 19:50:08,#ForjandoPaz en Bogotá con cuidadores de personas con discapacidad   #LaPazSiEsContigo https://t.co/sHxt8WqDcb,1,1,"[('https://t.co/sHxt8WqDcb', '', 'https://t.co/sHxt8WqDcb', '')]",#ForjandoPaz en Bogotá con cuidadores de personas con discapacidad   #LaPazSiEsContigo 
1376,748602799064223744,2016-06-30 19:43:10,¿Qué se acordó en La Habana? Conoce el Punto 1. Desarrollo Agrario integral. #ForjandoPAZ https://t.co/E1iXEgU36W https://t.co/YARiMhzH4q,1,0,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/YARiMhzH4q', '', 'https://t.co/YARiMhzH4q', '')]",¿Qué se acordó en La Habana? Conoce el Punto 1. Desarrollo Agrario integral. #ForjandoPAZ  
1343,750485062496518144,2016-07-06 00:22:36,Estamos #ForjandoPaz con niños del colegio San Francisco de Ciudad Bolivar que reciben nuestro taller de pedagogía https://t.co/IcrC6B4mxy,0,2,"[('https://t.co/IcrC6B4mxy', '', 'https://t.co/IcrC6B4mxy', '')]",Estamos #ForjandoPaz con niños del colegio San Francisco de Ciudad Bolivar que reciben nuestro taller de pedagogía 
1293,753639993311129600,2016-07-14 17:19:11,Somos una iniciativa ciudadana por la Paz y recorremos Colombia haciendo pedagogía de paz   #El15SiMeMuevoPorLaPaz https://t.co/YyEFZjggB5,3,0,"[('https://t.co/YyEFZjggB5', '', 'https://t.co/YyEFZjggB5', '')]",Somos una iniciativa ciudadana por la Paz y recorremos Colombia haciendo pedagogía de paz   #El15SiMeMuevoPorLaPaz 
1407,746711199446867968,2016-06-25 14:26:37,"#ForjandoPaz con personas mayores, abrazos de reconciliación y celebración porque la guerra se acabo https://t.co/co7UhXDCo1",1,1,"[('https://t.co/co7UhXDCo1', '', 'https://t.co/co7UhXDCo1', '')]","#ForjandoPaz con personas mayores, abrazos de reconciliación y celebración porque la guerra se acabo "
1290,753647441392627712,2016-07-14 17:48:46,Una niñez que si va a conocer algo diferente a la guerra #El15SiMeMuevoPorLaPaz https://t.co/9RwerlTzWz,3,1,"[('https://t.co/9RwerlTzWz', '', 'https://t.co/9RwerlTzWz', '')]",Una niñez que si va a conocer algo diferente a la guerra #El15SiMeMuevoPorLaPaz 
1495,741310883792596992,2016-06-10 16:47:42,"Forjando para la paz a esta hora en Bosa, los asistentes plasmam q es el conflicto armado y lo que significa la paz https://t.co/d2JXwtqrQP",3,0,"[('https://t.co/d2JXwtqrQP', '', 'https://t.co/d2JXwtqrQP', '')]","Forjando para la paz a esta hora en Bosa, los asistentes plasmam q es el conflicto armado y lo que significa la paz "
1182,758360926227664896,2016-07-27 17:58:29,#QuéNota en Nariño #ForjandoPaz https://t.co/k5utGvHTOc,0,0,"[('https://t.co/k5utGvHTOc', '', 'https://t.co/k5utGvHTOc', '')]",#QuéNota en Nariño #ForjandoPaz 
1280,753651047156047872,2016-07-14 18:03:06,#El15SiMeMuevoPorLaPaz ¿Qué se acordó en Desarrollo Agrario Integral? R/:Fondo de tierras https://t.co/E1iXEgU36W https://t.co/tkjIJW627v,6,3,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/tkjIJW627v', '', 'https://t.co/tkjIJW627v', '')]",#El15SiMeMuevoPorLaPaz ¿Qué se acordó en Desarrollo Agrario Integral? R/:Fondo de tierras  
1380,748141157708894208,2016-06-29 13:08:46,"RT @mariajose_1123: #Nariño Mi Identidad, Mi Orientación Territorio de Paz #NoSirvoALaGuerra #ForjandoPAZ https://t.co/2jnBfSviH2",7,0,"[('https://t.co/2jnBfSviH2', '', 'https://t.co/2jnBfSviH2', '')]","RT @mariajose_1123: #Nariño Mi Identidad, Mi Orientación Territorio de Paz #NoSirvoALaGuerra #ForjandoPAZ "
1274,754002477641531392,2016-07-15 17:19:34,Guaviare al son del joropo llanero se moviliza por la Paz #LaPazSiEsContigo https://t.co/sIqMODCwTr,1,2,"[('https://t.co/sIqMODCwTr', '', 'https://t.co/sIqMODCwTr', '')]",Guaviare al son del joropo llanero se moviliza por la Paz #LaPazSiEsContigo 
1336,750783354300170241,2016-07-06 20:07:55,RT @Personeriaitagu: #PersoneríaItagüí recomienda el video Dejemos de matarnos: https://t.co/e44d5GsVLY @forjandopaz @DianaUribeHisto,1,0,"[('https://t.co/e44d5GsVLY', '', 'https://t.co/e44d5GsVLY', '')]",RT @Personeriaitagu: #PersoneríaItagüí recomienda el video Dejemos de matarnos:  @forjandopaz @DianaUribeHisto
1332,751209839163047936,2016-07-08 00:22:37,"""Levantemos nuestros libros y nuestros lápices, ellos son las armas más poderosas"" #MeMuevoEl15PorLaPaz https://t.co/5mYGsaFeJq",9,6,"[('https://t.co/5mYGsaFeJq', '', 'https://t.co/5mYGsaFeJq', '')]","""Levantemos nuestros libros y nuestros lápices, ellos son las armas más poderosas"" #MeMuevoEl15PorLaPaz "
1261,754078344887595011,2016-07-15 22:21:02,"Sonríe Colombia que algo bueno está pasando, la paz es nuestra #LaPazSiEsContigo https://t.co/77hZ06yEqZ",19,13,"[('https://t.co/77hZ06yEqZ', '', 'https://t.co/77hZ06yEqZ', '')]","Sonríe Colombia que algo bueno está pasando, la paz es nuestra #LaPazSiEsContigo "
1201,757641456182030340,2016-07-25 18:19:34,"Algo bueno está pasando, estamos haciendo pedagogía de paz en Suba  Estamos #ForjandoPaz https://t.co/XAJ4oxlcdx",2,1,"[('https://t.co/XAJ4oxlcdx', '', 'https://t.co/XAJ4oxlcdx', '')]","Algo bueno está pasando, estamos haciendo pedagogía de paz en Suba  Estamos #ForjandoPaz "
1235,755226826717421576,2016-07-19 02:24:41,Merecemos Ganar #PorLaPazVotoSÍ https://t.co/c0k6CfdvK7,9,4,"[('https://t.co/c0k6CfdvK7', '', 'https://t.co/c0k6CfdvK7', '')]",Merecemos Ganar #PorLaPazVotoSÍ 
1207,757252643643359234,2016-07-24 16:34:33,¿Sabes que estamos haciendo? ⏩Taller de pedagogía de Paz en el Colegio Charry de Engativá  Estamos #ForjandoPaz https://t.co/3VqjTYH1hM,2,3,"[('https://t.co/3VqjTYH1hM', '', 'https://t.co/3VqjTYH1hM', '')]",¿Sabes que estamos haciendo? ⏩Taller de pedagogía de Paz en el Colegio Charry de Engativá  Estamos #ForjandoPaz 
1397,747183543260962816,2016-06-26 21:43:33,#ForjandoPAZ ¿Qué se acordó en La Habana? Punto 1: Aflojar la tierra para sembrar la paz. https://t.co/E1iXEgU36W https://t.co/BJEDbKQhR7,9,4,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/BJEDbKQhR7', '', 'https://t.co/BJEDbKQhR7', '')]",#ForjandoPAZ ¿Qué se acordó en La Habana? Punto 1: Aflojar la tierra para sembrar la paz.  
1200,757654148674359296,2016-07-25 19:10:00,#ForjandoPaz en los colegios de Ciudad Bolívar en Bogotá https://t.co/JnY96Oz63O,1,2,"[('https://t.co/JnY96Oz63O', '', 'https://t.co/JnY96Oz63O', '')]",#ForjandoPaz en los colegios de Ciudad Bolívar en Bogotá 
1312,752617172803944448,2016-07-11 21:34:51,Nuestra pedagogía para forjar Paz llego a la JAL de Puente Aranda en Bogotá   Estamos #ForjandoPaz https://t.co/Pg6EAA0PL8,3,0,"[('https://t.co/Pg6EAA0PL8', '', 'https://t.co/Pg6EAA0PL8', '')]",Nuestra pedagogía para forjar Paz llego a la JAL de Puente Aranda en Bogotá   Estamos #ForjandoPaz 
1296,753610222023958528,2016-07-14 15:20:52,Se prende la fiesta por la Paz #El15SiMeMuevoPorLaPaz https://t.co/kNscxv1Yno,2,4,"[('https://t.co/kNscxv1Yno', '', 'https://t.co/kNscxv1Yno', '')]",Se prende la fiesta por la Paz #El15SiMeMuevoPorLaPaz 
1210,756963634912387073,2016-07-23 21:26:08,#QuéVideo Mira el taller de pedagogía de paz que hicimos hoy en Pasto Nariño  Estamos #ForjandoPaz https://t.co/VZPvTmxdIo,0,4,"[('https://t.co/VZPvTmxdIo', '', 'https://t.co/VZPvTmxdIo', '')]",#QuéVideo Mira el taller de pedagogía de paz que hicimos hoy en Pasto Nariño  Estamos #ForjandoPaz 
1325,751488200426782720,2016-07-08 18:48:43,"Taller de pedagogía de Paz en San Pablo (Bolívar), socialización del punto 4 de la agenda de La habana #ForjandoPaz https://t.co/kuLBxFnuS3",0,1,"[('https://t.co/kuLBxFnuS3', '', 'https://t.co/kuLBxFnuS3', '')]","Taller de pedagogía de Paz en San Pablo (Bolívar), socialización del punto 4 de la agenda de La habana #ForjandoPaz "
1321,752260738840948736,2016-07-10 21:58:31,Una ciudadanía que se moviliza masivamente en bici  como apoyo a la Paz #BiciPAZeo https://t.co/4zqHRDVLz2,7,4,"[('https://t.co/4zqHRDVLz2', '', 'https://t.co/4zqHRDVLz2', '')]",Una ciudadanía que se moviliza masivamente en bici  como apoyo a la Paz #BiciPAZeo 
1243,755201151012855812,2016-07-19 00:42:40,No somos Santistas pero #PorLaPazVotoSÍ https://t.co/q1QHFpwdnj,10,10,"[('https://t.co/q1QHFpwdnj', '', 'https://t.co/q1QHFpwdnj', '')]",No somos Santistas pero #PorLaPazVotoSÍ 
1430,745987164786331648,2016-06-23 14:29:34,#AdiosALaGuerra Este es un día histórico. Por fin nuestro sueño de paz comienza a hacerse realidad. Vamos Colombia. https://t.co/thgy4JEr3d,7,3,"[('https://t.co/thgy4JEr3d', '', 'https://t.co/thgy4JEr3d', '')]",#AdiosALaGuerra Este es un día histórico. Por fin nuestro sueño de paz comienza a hacerse realidad. Vamos Colombia. 
1522,734130791798702081,2016-05-21 21:16:34,"Derribar y destruir es muy fácil. Los héroes son aquellos que construyen y que trabajan por la paz."" N. Mandela  Aquí por la paz trabajamos.",0,0,[],"Derribar y destruir es muy fácil. Los héroes son aquellos que construyen y que trabajan por la paz."" N. Mandela  Aquí por la paz trabajamos."
1219,756173946605621249,2016-07-21 17:08:12,Visita nuestra página web y súmate al proceso #ForjandoPaz ⏩ https://t.co/hczRLNo529 https://t.co/1zApwTvJN4,1,0,"[('https://t.co/hczRLNo529', '', 'https://t.co/hczRLNo529', ''), ('https://t.co/1zApwTvJN4', '', 'https://t.co/1zApwTvJN4', '')]",Visita nuestra página web y súmate al proceso #ForjandoPaz ⏩  
1479,743584591970181120,2016-06-16 23:22:36,Forjando Paz con vendedores informales de la localidad Puente Aranda en Bogotá #SíQuieroLaPaz https://t.co/FrGi8pG4L4,5,5,"[('https://t.co/FrGi8pG4L4', '', 'https://t.co/FrGi8pG4L4', '')]",Forjando Paz con vendedores informales de la localidad Puente Aranda en Bogotá #SíQuieroLaPaz 
1327,751445999055437824,2016-07-08 16:01:02,Hoy construimos en Barrancabermeja la mandala por la paz de Colombia   Estamos #ForjandoPaz https://t.co/7thi6PXtlo,3,4,"[('https://t.co/7thi6PXtlo', '', 'https://t.co/7thi6PXtlo', '')]",Hoy construimos en Barrancabermeja la mandala por la paz de Colombia   Estamos #ForjandoPaz 
1324,751567532637712384,2016-07-09 00:03:57,Plan ecológico: Pégate mañana sábado al #BiciPAZeo con la gente de @ConcienBiciate https://t.co/ZS3eUTVKw9,1,1,"[('https://t.co/ZS3eUTVKw9', '', 'https://t.co/ZS3eUTVKw9', '')]",Plan ecológico: Pégate mañana sábado al #BiciPAZeo con la gente de @ConcienBiciate 
1512,738417191188594688,2016-06-02 17:09:12,"100 jóvenes del Colegio Rodrigo de Triana en Kennedy, formandose sobre los acuerdos y la construcción de paz https://t.co/WzYcAX7I1r",0,1,"[('https://t.co/WzYcAX7I1r', '', 'https://t.co/WzYcAX7I1r', '')]","100 jóvenes del Colegio Rodrigo de Triana en Kennedy, formandose sobre los acuerdos y la construcción de paz "
1472,744664589258850304,2016-06-19 22:54:07,#ForjandoPaz en Hunza (Suba) con estudiantes de la @UniJaveriana que conviven con la comunidad #SíQuieroLaPaz https://t.co/vKZTVLJu1U,7,3,"[('https://t.co/vKZTVLJu1U', '', 'https://t.co/vKZTVLJu1U', '')]",#ForjandoPaz en Hunza (Suba) con estudiantes de la @UniJaveriana que conviven con la comunidad #SíQuieroLaPaz 
1157,759477760775553024,2016-07-30 19:56:23,#ForjandoPaz hoy en el Comedor Comunitario Rincón Rubí en Bogotá https://t.co/jc76FnvZJt,0,0,"[('https://t.co/jc76FnvZJt', '', 'https://t.co/jc76FnvZJt', '')]",#ForjandoPaz hoy en el Comedor Comunitario Rincón Rubí en Bogotá 
1395,747187324212084736,2016-06-26 21:58:34,#ForjandoPAZ ¿Qué se acordó en La Habana? R/: Programas de Desarrollo Rural https://t.co/E1iXEgU36W https://t.co/Wzq29EUKqn,14,6,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', ''), ('https://t.co/Wzq29EUKqn', '', 'https://t.co/Wzq29EUKqn', '')]",#ForjandoPAZ ¿Qué se acordó en La Habana? R/: Programas de Desarrollo Rural  
1418,746129777434689537,2016-06-23 23:56:16,Estamos listos para el servicio social para la PAZ   #ForjandoPaz https://t.co/V9b8vzIwmX,2,1,"[('https://t.co/V9b8vzIwmX', '', 'https://t.co/V9b8vzIwmX', '')]",Estamos listos para el servicio social para la PAZ   #ForjandoPaz 
1381,747892373158510592,2016-06-28 20:40:11,"Bailes, sonrisas y abrazos en Bogotá para celebrar el fin de la guerra con las FARC   Estamos #ForjandoPaz https://t.co/3rycqNd60g",3,3,"[('https://t.co/3rycqNd60g', '', 'https://t.co/3rycqNd60g', '')]","Bailes, sonrisas y abrazos en Bogotá para celebrar el fin de la guerra con las FARC   Estamos #ForjandoPaz "
1358,749718203732033536,2016-07-03 21:35:23,En el dia del #OrgulloLGBT2016 también estamos #ForjandoPaz  Nuestro mensaje: #PazEnIgualdad https://t.co/g6rr91uM0O,12,23,"[('https://t.co/g6rr91uM0O', '', 'https://t.co/g6rr91uM0O', '')]",En el dia del #OrgulloLGBT2016 también estamos #ForjandoPaz  Nuestro mensaje: #PazEnIgualdad 
1209,756987324207169540,2016-07-23 23:00:16,"""La Paz se hace con los enemigos, con los amigos se hacen coaliciones o paseos de olla"" https://t.co/w7p0fCEO5b",4,4,"[('https://t.co/w7p0fCEO5b', '', 'https://t.co/w7p0fCEO5b', '')]","""La Paz se hace con los enemigos, con los amigos se hacen coaliciones o paseos de olla"" "
1412,746408558451892224,2016-06-24 18:24:02,#ForjandoPaz con ciudadanos de la localidad de San Cristóbal en Bogotá https://t.co/1k8RNki6O9,1,1,"[('https://t.co/1k8RNki6O9', '', 'https://t.co/1k8RNki6O9', '')]",#ForjandoPaz con ciudadanos de la localidad de San Cristóbal en Bogotá 
1284,753649577283227648,2016-07-14 17:57:16,Vea aquí porque existe el #ElChicharronDeLaTierra en Colombia  #El15SiMeMuevoPorLaPaz https://t.co/wFiubeOeHB,4,1,"[('https://t.co/wFiubeOeHB', '', 'https://t.co/wFiubeOeHB', '')]",Vea aquí porque existe el #ElChicharronDeLaTierra en Colombia  #El15SiMeMuevoPorLaPaz 
1267,754011299261054977,2016-07-15 17:54:37,"SÍ a la Vida, SÍ a una nueva democracia, SÍ a la movilización sin represión del Estado #LaPazSiEsContigo https://t.co/TnF20jDmei",9,4,"[('https://t.co/TnF20jDmei', '', 'https://t.co/TnF20jDmei', '')]","SÍ a la Vida, SÍ a una nueva democracia, SÍ a la movilización sin represión del Estado #LaPazSiEsContigo "
