,id,created_at,text,retweet_count,favorite_count,URL,texto
772,782305345733529601,2016-10-01 19:45:03,URGENTE COMPARTIR: FARC anuncian que procederan a declarar sus bienes para reparar víctimas https://t.co/rqN6q6SeFt,7,2,"[('https://t.co/rqN6q6SeFt', '', 'https://t.co/rqN6q6SeFt', '')]",URGENTE COMPARTIR: FARC anuncian que procederan a declarar sus bienes para reparar víctimas 
773,778027667710816259,2016-09-20 00:27:05,#LoMásVisto  Te invitamos a ver y compartir este vídeo. Firmando los acuerdos podremos comenzar a construir la paz  https://t.co/ByT7vSrj4A,6,2,"[('https://t.co/ByT7vSrj4A', '', 'https://t.co/ByT7vSrj4A', '')]",#LoMásVisto  Te invitamos a ver y compartir este vídeo. Firmando los acuerdos podremos comenzar a construir la paz  
774,777996965942398976,2016-09-19 22:25:05,#LoMásVisto ¡Para dummies! Reparación a las victimas en los acuerdos de la Habana para la paz de Colombia https://t.co/gcYUFAHoKK,2,2,"[('https://t.co/gcYUFAHoKK', '', 'https://t.co/gcYUFAHoKK', '')]",#LoMásVisto ¡Para dummies! Reparación a las victimas en los acuerdos de la Habana para la paz de Colombia 
775,777987501281673217,2016-09-19 21:47:29,"RT @infopresidencia: ¿Quiere entender como llegamos a #AcuerdoDePaz? Consulte #PAZografías, vía @FORJANDOPAZ https://t.co/CLJB78YdDd https:…",23,0,"[('https://t.co/CLJB78YdDd', '', 'https://t.co/CLJB78YdDd', '')]","RT @infopresidencia: ¿Quiere entender como llegamos a #AcuerdoDePaz? Consulte #PAZografías, vía @FORJANDOPAZ  "
776,777980092186112005,2016-09-19 21:18:02,¡Tú también puedes ser forjadora o forjador de paz! Comparte nuestras PAZografias  https://t.co/tLJfuBPJr7 https://t.co/rhOBEChIHL,5,4,"[('https://t.co/tLJfuBPJr7', '', 'https://t.co/tLJfuBPJr7', ''), ('https://t.co/rhOBEChIHL', '', 'https://t.co/rhOBEChIHL', '')]",¡Tú también puedes ser forjadora o forjador de paz! Comparte nuestras PAZografias   
777,777961730605355008,2016-09-19 20:05:05,#Noticias Norcasia Territorio de Paz https://t.co/ACZcRcEgOu,1,0,"[('https://t.co/ACZcRcEgOu', '', 'https://t.co/ACZcRcEgOu', '')]",#Noticias Norcasia Territorio de Paz 
778,777953002439053312,2016-09-19 19:30:24,Las Forjadoras y los Forjadores de Paz somos personas  comprometidas en profundidad con la pedagogía de paz… https://t.co/ughVHfI9Vk,2,2,"[('https://t.co/ughVHfI9Vk', '', 'https://t.co/ughVHfI9Vk', '')]",Las Forjadoras y los Forjadores de Paz somos personas  comprometidas en profundidad con la pedagogía de paz… 
779,777946378139947008,2016-09-19 19:04:04,#Noticias Pereira: Jóvenes comprometidos con la construcción de paz  https://t.co/qNt1ImnBYH,3,1,"[('https://t.co/qNt1ImnBYH', '', 'https://t.co/qNt1ImnBYH', '')]",#Noticias Pereira: Jóvenes comprometidos con la construcción de paz  
780,775460006254739457,2016-09-12 22:24:07,En este video te contamos que se acordo en La Habana en el punto No 1 sobre el desarrollo del agro en Colombia https://t.co/E1iXEgU36W,3,0,"[('https://t.co/E1iXEgU36W', '', 'https://t.co/E1iXEgU36W', '')]",En este video te contamos que se acordo en La Habana en el punto No 1 sobre el desarrollo del agro en Colombia 
781,775429031433007104,2016-09-12 20:21:02,"En Tumaco, Nariño estamos en la semana por la paz del 11 al 19 de septiembre   #ColombiaDiceSÍ https://t.co/qmuRGBsdh2",13,15,"[('https://t.co/qmuRGBsdh2', '', 'https://t.co/qmuRGBsdh2', '')]","En Tumaco, Nariño estamos en la semana por la paz del 11 al 19 de septiembre   #ColombiaDiceSÍ "
