,id,created_at,text,retweet_count,favorite_count,URL,texto
1119,761366573785505792,2016-08-05 01:01:51,RT @tostaocqt: Soy Colombiano y a mi país le digo Sí ✔️,133,0,[],RT @tostaocqt: Soy Colombiano y a mi país le digo Sí ✔️
798,774396356261740544,2016-09-09 23:57:33,"Votar SÍ es el primer paso para deshacernos del odio, superarnos como sociedad e ir por la verdadera paz https://t.co/tibJAjJyoh",57,50,"[('https://t.co/tibJAjJyoh', '', 'https://t.co/tibJAjJyoh', '')]","Votar SÍ es el primer paso para deshacernos del odio, superarnos como sociedad e ir por la verdadera paz "
912,770611332278259712,2016-08-30 13:17:13,¿Qué incluye el acuerdo de paz con respecto a la Política de Desarrollo Agrario Integral? #PAZografía  #YoMarcoSÍ https://t.co/1RuHG0szHx,49,24,"[('https://t.co/1RuHG0szHx', '', 'https://t.co/1RuHG0szHx', '')]",¿Qué incluye el acuerdo de paz con respecto a la Política de Desarrollo Agrario Integral? #PAZografía  #YoMarcoSÍ 
1104,762067760704872448,2016-08-06 23:28:07,"Desde que se inventaron esta maleta estamos en guerra, es hora de apostarle a la Paz #LaPazSiEsContigo https://t.co/Q3xd2nMRlZ",36,40,"[('https://t.co/Q3xd2nMRlZ', '', 'https://t.co/Q3xd2nMRlZ', '')]","Desde que se inventaron esta maleta estamos en guerra, es hora de apostarle a la Paz #LaPazSiEsContigo "
889,771357983443918850,2016-09-01 14:44:09,SÍ a la paz para que nunca más un Colombiano tenga que dejar su territorio huyendo de la guerra #SÍGanaColombia https://t.co/ezLjIEKEJ4,35,21,"[('https://t.co/ezLjIEKEJ4', '', 'https://t.co/ezLjIEKEJ4', '')]",SÍ a la paz para que nunca más un Colombiano tenga que dejar su territorio huyendo de la guerra #SÍGanaColombia 
855,772828235767943168,2016-09-05 16:06:24,Esta #PAZografía resume los 5 puntos negociados del proceso de paz que da fin a la guerra #SiSasPorLaPaz https://t.co/A9VAUkuyw3,34,25,"[('https://t.co/A9VAUkuyw3', '', 'https://t.co/A9VAUkuyw3', '')]",Esta #PAZografía resume los 5 puntos negociados del proceso de paz que da fin a la guerra #SiSasPorLaPaz 
907,770784320206336000,2016-08-31 00:44:37,#LaPazLaMejorOportunidad para que le devuelvan la tierra a los campesinos y la  puedan trabajar en paz https://t.co/6onsZWEnjJ,31,21,"[('https://t.co/6onsZWEnjJ', '', 'https://t.co/6onsZWEnjJ', '')]",#LaPazLaMejorOportunidad para que le devuelvan la tierra a los campesinos y la  puedan trabajar en paz 
999,767435308891766784,2016-08-21 18:56:50,"5 puntos son transversales a los acuerdos de paz de La Habana, conocelos en esta #PAZografía https://t.co/jffXPg3JbC",26,13,"[('https://t.co/jffXPg3JbC', '', 'https://t.co/jffXPg3JbC', '')]","5 puntos son transversales a los acuerdos de paz de La Habana, conocelos en esta #PAZografía "
899,770994939375345664,2016-08-31 14:41:32,"Resumen del acuerdo de víctimas en esta #Pazografía: verdad, justicia, reparación y no repetición   #PorElSÍ https://t.co/ljZPiyitZT",25,17,"[('https://t.co/ljZPiyitZT', '', 'https://t.co/ljZPiyitZT', '')]","Resumen del acuerdo de víctimas en esta #Pazografía: verdad, justicia, reparación y no repetición   #PorElSÍ "
775,777987501281673217,2016-09-19 21:47:29,"RT @infopresidencia: ¿Quiere entender como llegamos a #AcuerdoDePaz? Consulte #PAZografías, vía @FORJANDOPAZ https://t.co/CLJB78YdDd https:…",23,0,"[('https://t.co/CLJB78YdDd', '', 'https://t.co/CLJB78YdDd', '')]","RT @infopresidencia: ¿Quiere entender como llegamos a #AcuerdoDePaz? Consulte #PAZografías, vía @FORJANDOPAZ  "
