,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
2288,2016-06-14 13:29:52,0,2602,742710648811982848,,6815,todosxlapazcol,RT @Pontifex_es: El futuro de un pueblo supone necesariamente el encuentro entre los jóvenes y los ancianos.,[],RT @Pontifex_es: El futuro de un pueblo supone necesariamente el encuentro entre los jóvenes y los ancianos.
2283,2016-06-14 13:57:59,0,2602,742717725731135488,,3300,todosxlapazcol,"RT @Margaritarosadf: A los que dicen que la paz no puede ser a cualquier costo, la guerra les debe parecer un negociazo.",[],"RT @Margaritarosadf: A los que dicen que la paz no puede ser a cualquier costo, la guerra les debe parecer un negociazo."
2223,2016-06-23 17:04:38,0,2602,746026189123391488,,2417,todosxlapazcol,"RT @fdbedout: No hay paz perfecta, pero tampoco conozco guerra que lo sea, ¿después de 53 años de conflicto, no será hora de intentar algo…",[],"RT @fdbedout: No hay paz perfecta, pero tampoco conozco guerra que lo sea, ¿después de 53 años de conflicto, no será hora de intentar algo…"
2224,2016-06-23 17:04:01,0,2602,746026031673393152,,832,todosxlapazcol,RT @CLOPEZanalista: #LaPazEsPosible si uribismo acepta reinventarse para la paz que seguir explotando el odio a FARC para ganar #SePuede ht…,[],RT @CLOPEZanalista: #LaPazEsPosible si uribismo acepta reinventarse para la paz que seguir explotando el odio a FARC para ganar #SePuede ht…
2190,2016-06-29 13:03:47,0,2602,748139904626982912,,815,todosxlapazcol,"RT @juanes: No es difícil aprender a amar y a perdonar, si uno se encuentra en condiciones de hacer estas dos cosas por sí mismo. #SiALaPaz",[],"RT @juanes: No es difícil aprender a amar y a perdonar, si uno se encuentra en condiciones de hacer estas dos cosas por sí mismo. #SiALaPaz"
2264,2016-06-17 12:59:06,0,2602,743790071992692736,,747,todosxlapazcol,"RT @DanielSamperO: Estimados @AlvaroUribeVel, @A_OrdonezM, @PachoSantosC y compañía: https://t.co/IKuxlMjqJg","[('https://t.co/IKuxlMjqJg', '', 'https://t.co/IKuxlMjqJg', '')]","RT @DanielSamperO: Estimados @AlvaroUribeVel, @A_OrdonezM, @PachoSantosC y compañía: "
2290,2016-06-14 13:29:12,0,2602,742710484093284352,,714,todosxlapazcol,"RT @fdbedout: ""Cuando el fanatismo ha gangrenado el cerebro, la enfermedad es casi incurable"". Voltaire.",[],"RT @fdbedout: ""Cuando el fanatismo ha gangrenado el cerebro, la enfermedad es casi incurable"". Voltaire."
2259,2016-06-19 02:05:50,0,2602,744350447947911168,,586,todosxlapazcol,"RT @edgarramirez25: No pedimos un favor. Exigimos que lo hagan. El Derecho a la Paz nos pertenece por naturaleza, no por política. #Derecho…",[],"RT @edgarramirez25: No pedimos un favor. Exigimos que lo hagan. El Derecho a la Paz nos pertenece por naturaleza, no por política. #Derecho…"
2291,2016-06-14 13:29:08,0,2602,742710463658659840,,467,todosxlapazcol,RT @ganandolapaz: Esta es la resistencia civil. El mismo discurso de odio que acaba de generar una masacre en EEUU. #NoSirvoALaGuerra https…,[],RT @ganandolapaz: Esta es la resistencia civil. El mismo discurso de odio que acaba de generar una masacre en EEUU. #NoSirvoALaGuerra 
2345,2016-06-05 14:15:29,0,2602,739460640893505536,,351,todosxlapazcol,RT @IvanCepedaCast: Votar o firmar contra la paz es una grave ofensa a 8'400.000 víctimas  que ha dejado la guerra en Colombia y es querer…,[],RT @IvanCepedaCast: Votar o firmar contra la paz es una grave ofensa a 8'400.000 víctimas  que ha dejado la guerra en Colombia y es querer…
