,created_at,favorite_count,followers_count,id_str,in_reply_to_screen_name,retweet_count,screen_name,text,URL,texto
2552,2016-05-07 21:50:15,0,2602,729065835633987584,,0,todosxlapazcol,un #actodepaz es que la gente obre en consecuencia a la paz a partir de la tolerancia y el respeto a las diferencias https://t.co/euVjb3H6vK,"[('https://t.co/euVjb3H6vK', '', 'https://t.co/euVjb3H6vK', '')]",un #actodepaz es que la gente obre en consecuencia a la paz a partir de la tolerancia y el respeto a las diferencias 
2389,2016-05-29 21:25:09,3,2602,737032053359845376,,1,todosxlapazcol,"""La búsqueda de la tolerancia  proyectándola a los demás, sintiéndote bien contigo mismo es un #actodepaz"" https://t.co/LIG0bx2XTV","[('https://t.co/LIG0bx2XTV', '', 'https://t.co/LIG0bx2XTV', '')]","""La búsqueda de la tolerancia  proyectándola a los demás, sintiéndote bien contigo mismo es un #actodepaz"" "
2193,2016-06-28 00:54:44,0,2602,747594046546284544,,18,todosxlapazcol,"RT @lafm: Óscar Barreto, gobernador del Tolima: me comprometí con la paz, pero no soy borrego de nadie https://t.co/JILH7LpGCJ #OigoLAFm","[('https://t.co/JILH7LpGCJ', '', 'https://t.co/JILH7LpGCJ', '')]","RT @lafm: Óscar Barreto, gobernador del Tolima: me comprometí con la paz, pero no soy borrego de nadie  #OigoLAFm"
2444,2016-05-23 13:29:37,0,2602,734738054724870144,,33,todosxlapazcol,RT @ONUMujeresMX: La participación de #mujeres en negociaciones de paz es fundamental. #Planet5050 vía @ONUMujeres https://t.co/sLfcHolwJd,"[('https://t.co/sLfcHolwJd', '', 'https://t.co/sLfcHolwJd', '')]",RT @ONUMujeresMX: La participación de #mujeres en negociaciones de paz es fundamental. #Planet5050 vía @ONUMujeres 
2348,2016-06-05 14:14:32,3,2602,739460397925859328,,1,todosxlapazcol,La paz de Colombia y el Dr. B: Dairo Antonio Herrera Cortina - https://t.co/4PVYfGNeC5,"[('https://t.co/4PVYfGNeC5', '', 'https://t.co/4PVYfGNeC5', '')]",La paz de Colombia y el Dr. B: Dairo Antonio Herrera Cortina - 
2547,2016-05-10 12:35:18,0,2602,730013342316761088,,0,todosxlapazcol,La historiadora Diana Uribe habla de paz (Video) Via @Las2orillas https://t.co/NUfPs0uKIg,"[('https://t.co/NUfPs0uKIg', '', 'https://t.co/NUfPs0uKIg', '')]",La historiadora Diana Uribe habla de paz (Video) Via @Las2orillas 
2451,2016-05-23 12:46:11,1,2602,734727122313465856,,0,todosxlapazcol,El enviado de la UE para el proceso de paz inicia mañana su cuarta visita a Colombia - https://t.co/oZdWGPgEQm,"[('https://t.co/oZdWGPgEQm', '', 'https://t.co/oZdWGPgEQm', '')]",El enviado de la UE para el proceso de paz inicia mañana su cuarta visita a Colombia - 
2249,2016-06-19 14:23:24,0,2602,744536062173810688,,6,todosxlapazcol,RT @RevistaSemana: #EnPortada | Aún no se sabe si habrá plebiscito para refrendar los acuerdos de paz con las Farc… https://t.co/BUvvfzOYLx,"[('https://t.co/BUvvfzOYLx', '', 'https://t.co/BUvvfzOYLx', '')]",RT @RevistaSemana: #EnPortada | Aún no se sabe si habrá plebiscito para refrendar los acuerdos de paz con las Farc… 
2114,2016-07-26 15:50:29,0,2602,757966326623264768,,0,todosxlapazcol,"""Tenemos un acuerdo que ha sido bien alcanzado, no será perfecto, pero vale la pena tomarlo"" Fabio, @ELTIEMPO #TodosPorLaPaz #SíaLaPaz",[],"""Tenemos un acuerdo que ha sido bien alcanzado, no será perfecto, pero vale la pena tomarlo"" Fabio, @ELTIEMPO #TodosPorLaPaz #SíaLaPaz"
2466,2016-05-21 17:18:38,1,2602,734070914070028288,,0,todosxlapazcol,"Cultura, esencial para paz en Colombia https://t.co/ZZvf1LySwx","[('https://t.co/ZZvf1LySwx', '', 'https://t.co/ZZvf1LySwx', '')]","Cultura, esencial para paz en Colombia "
